route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
0007NZBM1530,AT,007,Glen Innes To Pt Chevalier Via Selwyn Village,3,00F0FF,000000
0041NZBM1385,AT,004,Herne Bay To Britomart Via Jervios Road & College Hill,3,00F0FF,000000
0042NZBM1383,AT,004,Britomart To Herne Bay Via College Hill & Jervois Road,3,00F0FF,000000
0051NZBM1422,AT,005,Westmere To Britomart Via Herne Bay And College Hill,3,00F0FF,000000
0052NZBM1384,AT,005,Britomart To Westmere Via College Hill & Herne Bay,3,00F0FF,000000
0061NZBM3909,AT,006,St Lukes To Newmarket,3,00F0FF,000000
0062NZBM2002,AT,006,Newmarket To St Lukes,3,00F0FF,000000
0063NZBM3911,AT,006,Unitec And St Lukes To Newmarket,3,00F0FF,000000
0064NZBM2020,AT,006,Newmarket To St Lukes And Unitec,3,00F0FF,000000
0070NZBM2462,AT,007,Pt Chevalier To St Heliers,3,00F0FF,000000
0071NZBM2453,AT,007,Glen Innes To Pt Chevalier,3,00F0FF,000000
0072NZBM2455,AT,007,Pt Chevalier To Glen Innes,3,00F0FF,000000
0073NZBM1525,AT,007,St Heliers To Pt Chevalier Via Selwyn Village,3,00F0FF,000000
0074NZBM1526,AT,007,Pt Chevalier To St Heliers Via Selwyn Village,3,00F0FF,000000
0075NZBM2452,AT,007,St Heliers To Pt Chevalier,3,00F0FF,000000
0076NZBM2456,AT,007,Pt Chevalier To St Heliers,3,00F0FF,000000
0077NZBM1529,AT,007,St Heliers To Pt Chevalier Via Selwyn Village,3,00F0FF,000000
0078NZBM1689,AT,007,Pt Chevalier To St Heliers Via Selwyn Village,3,00F0FF,000000
0079NZBM2461,AT,007,St Heliers To Pt Chevalier,3,00F0FF,000000
0088UE3457,AT,008,New Lynn To Onehunga,3,DCC8FF,C80000
0091UE3779,AT,009,Onehunga To New Lynn,3,DCC8FF,C80000
0093UE3780,AT,009,Sylvia Park To New Lynn Via Blockhouse Bay Shops,3,DCC8FF,C80000
0095UE3442,AT,009,Sylvia Park To New Lynn Via Blockhouse Bay Shops,3,DCC8FF,C80000
0096UE3443,AT,009,New Lynn To Sylvia Park Via Blockhouse Bay Shops,3,DCC8FF,C80000
0101NZBM0633,AT,010,Onehunga To Ponsonby Via Unitec,3,00F0FF,000000
0102NZBM3175,AT,010,Ponsonby To Onehunga Via Unitec,3,00F0FF,000000
0111NZBM1686,AT,011,Onehunga To Ponsonby Via St Lukes,3,00F0FF,000000
0112NZBM1447,AT,011,Ponsonby To Onehunga Via St Lukes,3,00F0FF,000000
0141NZBG3297,AT,014,Henderson Hopper Via Mclaren Park & Sturges Rd,3,64FF00,000000
0151NZBM1684,AT,015,Ponsonby To Britomart,3,00F0FF,000000
0152NZBM0037,AT,015,Britomart To Ponsonby,3,00F0FF,000000
0153NZBM1692,AT,015,K''Rd To Britomart,3,00F0FF,000000
0171NZBM2411,AT,017,Westmere To Britomart Via Herne Bay,3,00F0FF,000000
0172NZBM1391,AT,017,Britomart To Herne Bay And Westmere,3,00F0FF,000000
0182NZBM2445,AT,018,Herne Bay To Otahuhu,3,00F0FF,000000
0241NZBM1876,AT,024,Richmond Road To Britomart,3,00F0FF,000000
0242NZBM0041,AT,024,Britomart To Richmond Road,3,00F0FF,000000
0251NZBM0046,AT,025,Surrey Cres And Richmond Road To Britomart,3,00F0FF,000000
0252NZBM0042,AT,025,Britomart To Richmond Road And Surrey Cres,3,00F0FF,000000
0253NZBM0589,AT,025,Karangahape Rd To Britomart,3,00F0FF,000000
0271NZBM3849,AT,027,Westmere To Britomart Via Richmond Road,3,00F0FF,000000
0272NZBM3161,AT,027,Britomart To Westmere Via Richmond Road,3,00F0FF,000000
0281NZBM0570,AT,028X,Westmere To Britomart Express,3,00F0FF,000000
0282NZBM0572,AT,028X,Britomart To Westmere Express,3,00F0FF,000000
0283NZBM2307,AT,028X,Richmond Road To Britomart Express,3,00F0FF,000000
0341NZBM0048,AT,034,Westmere To Britomart,3,00F0FF,000000
0351NZBM0526,AT,035,Westmere To Britomart,3,00F0FF,000000
0352NZBM0047,AT,035,Britomart To Westmere And Herne Bay,3,00F0FF,000000
0354NZBM0620,AT,035,K''Rd To Westmere,3,00F0FF,000000
0422NZBM0049,AT,042,Britomart To Unitec,3,00F0FF,000000
0431NZBM0054,AT,043,Mt Albert To Britomart,3,00F0FF,000000
0432NZBM0050,AT,043,Britomart To Mt Albert,3,00F0FF,000000
0451NZBM0053,AT,045,Pt Chevalier Beach To Britomart,3,00F0FF,000000
0452NZBM0484,AT,045,Britomart To Pt Chevalier Beach,3,00F0FF,000000
0453NZBM2484,AT,045,Pt Chevalier To Britomart Via Selwyn Village,3,00F0FF,000000
0454NZBM0051,AT,045,Britomart To Pt Chevalier Via Selwyn Village,3,00F0FF,000000
0455NZBM0569,AT,045X,Pt Chevalier To Britomart  Express,3,00F0FF,000000
0456NZBM1877,AT,045X,Britomart To Pt Chevalier Beach Express,3,00F0FF,000000
0458NZBM1691,AT,045,Britomart To Pt Chevalier Beach,3,00F0FF,000000
0480NZBG1331,AT,048,Britomart To Te Atatu Peninsula,3,64FF00,000000
0481NZBG1932,AT,048,Te Atatu Peninsula To Britomart,3,64FF00,000000
0482NZBG1317,AT,048,Britomart To Te Atatu Peninsula,3,64FF00,000000
0483NZBG1459,AT,048,Te Atatu Peninsula To Britomart Via Patiki Road,3,64FF00,000000
0484NZBG1330,AT,048,Britomart To Te Atatu Peninsula Via Patiki Rd,3,64FF00,000000
0485NZBG1438,AT,048X,Te Atatu Peninsula To Britomart Express,3,64FF00,000000
0486NZBG1321,AT,048X,Britomart To Te Atatu Peninsula Express,3,64FF00,000000
0491NZBG1674,AT,049,Henderson To Britomart Via Te Atatu Peninsula,3,64FF00,000000
0492NZBG1677,AT,049,Britomart To Te Atatu Peninsula,3,64FF00,000000
0493NZBG1721,AT,049,Henderson To Te Atatu Peninsula,3,64FF00,000000
0494NZBG1722,AT,049,Te Atatu Peninsula To Henderson,3,64FF00,000000
0508NZBW0972,AT,50,Pukekohe To Port Waikato.,3,B4FFFF,006E3C
0509NZBW1346,AT,50,Port Waikato To Pukekohe,3,B4FFFF,006E3C
0525HE3159,AT,52,Bucklands Beach To Britomart Via Newmarket,3,960000,FFFFFF
0527HE3172,AT,52,Bucklands Beach To Britomart Via Newmarket,3,960000,FFFFFF
0601RT3572,AT,060X,Helensville To Britomart,3,FFDCDC,0000FF
0602RT3857,AT,060X,Britomart To Helensville,3,FFDCDC,0000FF
0603RT3574,AT,060,Helensville To Westgate,3,FFDCDC,0000FF
0604RT3575,AT,060,Westgate To Helensville,3,FFDCDC,0000FF
0701RT3506,AT,070X,Westgate To Britomart Express Via Waimumu Rd,3,FFDCDC,0000FF
0702RT3858,AT,070X,Britomart To Westgate Express Via Waimumu Rd,3,FFDCDC,0000FF
0703NZBG1886,AT,07F,Parrs Corner To Britomart Flyer,3,64FF00,000000
0704NZBG3835,AT,07F,Britomart To Parrs Corner Flyer,3,64FF00,000000
0722NZBG0136,AT,072,Britomart To Henderson Via Sunnyvale,3,64FF00,000000
0761NZBG0127,AT,076,Larnoch To Britomart,3,64FF00,000000
0791NZBG1962,AT,079,Sturges Road To Britomart,3,64FF00,000000
0792NZBG2085,AT,079,Britomart To Sturges Road Via Sunnyvale,3,64FF00,000000
0801RT3813,AT,080,Westgate To Britomart,3,FFDCDC,0000FF
0802UE3444,AT,008,New Lynn To Otahuhu,3,DCC8FF,C80000
0803UE3769,AT,008,Otahuhu To New Lynn,3,DCC8FF,C80000
0804RT3850,AT,080,Britomart To Westgate,3,FFDCDC,0000FF
0805RT3647,AT,080X,Westgate To Britomart Express,3,FFDCDC,0000FF
0806RT3859,AT,080X,Britomart To Westgate Express,3,FFDCDC,0000FF
0807RT3814,AT,080,Westgate To Henderson,3,FFDCDC,0000FF
0808RT3464,AT,080,Henderson To Westgate Via Don Buck Rd,3,FFDCDC,0000FF
0821RT3820,AT,082,Westgate To Te Atatu Peninnsula,3,FFDCDC,0000FF
0822RT3821,AT,082,Te Atatu Peninnsula To Westgate,3,FFDCDC,0000FF
0851NZBG0125,AT,085,Swanson To Britomart,3,64FF00,000000
0852NZBG1471,AT,085,Britomart To Swanson,3,64FF00,000000
0871NZBG1723,AT,087,Ranui To Britomart,3,64FF00,000000
0872NZBG3196,AT,087,Britomart To Ranui,3,64FF00,000000
0873NZBG3663,AT,087,Ranui To Britomart Via Rsa Village,3,64FF00,000000
0874NZBG3222,AT,087,Britomart To Ranui Via Rsa Village,3,64FF00,000000
0881NZBG3298,AT,088,Larnoch To Britomart,3,64FF00,000000
0892NZBG3220,AT,089,Britomart To Ranui,3,64FF00,000000
0900NZBG3836,AT,09F,Britomart To Sturges Rd,3,64FF00,000000
0901RT3696,AT,090,Westgate To Britomart Via Massey East,3,FFDCDC,0000FF
0902RT3860,AT,090,Britomart To Westgate Via Massey East,3,FFDCDC,0000FF
0903RT3702,AT,090X,Westgate To Britomart Express Via Massey East,3,FFDCDC,0000FF
0904RT3861,AT,090X,Britomart To Westgate Express Via Massey East,3,FFDCDC,0000FF
0905RT3703,AT,090,Westgate To Henderson Via Massey East,3,FFDCDC,0000FF
0906RT3651,AT,090,Henderson To Westgate Via Massey East,3,FFDCDC,0000FF
0909NZBG1978,AT,09F,Sturges Rd To Britomart Flyer,3,64FF00,000000
0921RT3652,AT,092,Hobsonville To Britomart,3,FFDCDC,0000FF
0922RT3862,AT,092,Britomart To Hobsonville,3,FFDCDC,0000FF
0923RT3644,AT,092,Hobsonville To Henderson,3,FFDCDC,0000FF
0924RT3541,AT,092,Henderson To Hobsonville,3,FFDCDC,0000FF
0925RT3653,AT,092,Hobsonville To Westgate,3,FFDCDC,0000FF
0926RT3511,AT,092,Westgate To Hobsonville,3,FFDCDC,0000FF
0931RT3654,AT,093,Whenuapai To Westgate,3,FFDCDC,0000FF
0932RT3579,AT,093,Westgate To Whenuapai,3,FFDCDC,0000FF
0951RT3745,AT,095X,Whenuapai To Britomart Express,3,FFDCDC,0000FF
0952RT3863,AT,095X,Britomart To Whenuapai Express,3,FFDCDC,0000FF
0971NZBG0124,AT,097,Ranui To Britomart,3,64FF00,000000
0972NZBG3221,AT,097,Britomart To Ranui,3,64FF00,000000
1001RT0781,AT,NEX,Albany To Britomart,3,FFDCDC,0000FF
1002RT0780,AT,NEX,Britomart To Albany,3,FFDCDC,0000FF
1003AIR3827,AT,AIR,Airport To Ferry Terminal Downtown,3,FFFF8C,0078FF
1004AIR3828,AT,AIR,Ferry Terminal Down Town To Airport,3,FFFF8C,0078FF
1005AIR3829,AT,AIR,Airport To Ferry Terminal Downtown,3,FFFF8C,0078FF
1006AIR3830,AT,AIR,Ferry Terminal Down Town To Airport,3,FFFF8C,0078FF
1041UE3726,AT,104,New Lynn To Avondale,3,DCC8FF,C80000
1102NZBG3580,AT,110,Patiki Road To New Lynn Via Avondale,3,64FF00,000000
1131NZBG3542,AT,113,Henderson To Britomart Via Glendene,3,64FF00,000000
1132NZBG3925,AT,113,Britomart To Henderson Via Glendene,3,64FF00,000000
1133NZBG3544,AT,113,Henderson To New Lynn Via Great North Road,3,64FF00,000000
1134NZBG3926,AT,113,New Lynn To Henderson Via Great North Road,3,64FF00,000000
1135NZBG3690,AT,113,Henderson To Patiki Road Via Glendene,3,64FF00,000000
1137NZBG1927,AT,113X,Henderson To Britomart Express Via Glendene,3,64FF00,000000
1139NZBG3582,AT,113,Glendene To New Lynn Via Great North Road,3,64FF00,000000
1150NZBG3934,AT,115X,Britomart To Henderson Express Via Glendene,3,64FF00,000000
1151NZBG3583,AT,115,Henderson To Britomart Via Glendene,3,64FF00,000000
1152NZBG3927,AT,115,Britomart To Henderson Via Glendene,3,64FF00,000000
1153NZBG3585,AT,115,Henderson To New Lynn Via Glendene,3,64FF00,000000
1154NZBG3928,AT,115,New Lynn To Henderson Via Glendene,3,64FF00,000000
1155NZBG3691,AT,115,Henderson To Patiki Road Via Glendene,3,64FF00,000000
1156NZBG3588,AT,115,Patiki Road To Henderson Via Glendene,3,64FF00,000000
1157NZBG1926,AT,115X,Henderson To Britomart Express Via Glendene,3,64FF00,000000
1211NZBG3589,AT,121,Te Atatu Peninsula To New Lynn,3,64FF00,000000
1212NZBG3590,AT,121,New Lynn To Te Atatu Peninsula,3,64FF00,000000
1214NZBG3591,AT,121,Avondale To Te Atatu Peninsula,3,64FF00,000000
1221NZBG1934,AT,122,Te Atatu Peninsula To Henderson,3,64FF00,000000
1222NZBG1931,AT,122,Henderson To Te Atatu Peninsula,3,64FF00,000000
1301RT3655,AT,130,Takapuna To New Lynn,3,FFDCDC,0000FF
1302RT3929,AT,130,New Lynn To Takapuna,3,FFDCDC,0000FF
1303RT3656,AT,130,Takapuna To Henderson,3,FFDCDC,0000FF
1304RT3935,AT,130,Henderson To Takapuna,3,FFDCDC,0000FF
1305RT3657,AT,130,Hobsonville To New Lynn,3,FFDCDC,0000FF
1306RT3484,AT,130,New Lynn To Hobsonville,3,FFDCDC,0000FF
1307RT3645,AT,130,Takapuna To Westgate,3,FFDCDC,0000FF
1308RT3936,AT,130,Westgate To Takapuna,3,FFDCDC,0000FF
1309RT3658,AT,130,Smales Farm To Westgate,3,FFDCDC,0000FF
1311RT3646,AT,131,Takapuna To New Lynn,3,FFDCDC,0000FF
1312RT3546,AT,131,New Lynn To Takapuna,3,FFDCDC,0000FF
1314RT3452,AT,131,New Lynn To Hobsonville,3,FFDCDC,0000FF
1341NZBG3547,AT,134,Ranui To Britomart,3,64FF00,000000
1342NZBG3595,AT,134,Britomart To Larnoch,3,64FF00,000000
1344NZBG3596,AT,134,Britomart To Larnoch Via Rathgar Rd Schools,3,64FF00,000000
1345NZBG3692,AT,134,Larnoch To Patiki Road Via Henderson And New Lynn And Rosebank Road,3,64FF00,000000
1351NZBG3598,AT,135,Swanson To Britomart,3,64FF00,000000
1352NZBG3599,AT,135,Britomart To Swanson,3,64FF00,000000
1355NZBG3693,AT,135,Swanson To Patiki Road Via Henderson And New Lynn And Rosebank Road,3,64FF00,000000
1361NZBG3548,AT,136,Ranui To Britomart,3,64FF00,000000
1362NZBG3549,AT,136,Britomart To Ranui,3,64FF00,000000
1372NZBG3642,AT,137,Britomart To Ranui,3,64FF00,000000
1381NZBG3601,AT,138,Larnoch To Britomart,3,64FF00,000000
1382NZBG3602,AT,138,Britomart To Larnoch,3,64FF00,000000
1402NZBG3550,AT,140,Britomart To Ranui Night Flexi,3,64FF00,000000
1403NZBG1928,AT,14F,Glendene To Britomart Flyer,3,64FF00,000000
1404NZBG3937,AT,14F,Britomart To Glendene Flyer,3,64FF00,000000
1421NZBG3603,AT,142,Henderson To Britomart,3,64FF00,000000
1422NZBG3604,AT,142,New Lynn To Henderson Via Great North Road And New Lynn And Sunnyvale,3,64FF00,000000
1423NZBG3605,AT,142,Henderson To New Lynn,3,64FF00,000000
1491NZBG3606,AT,149,Sturges Road To Britomart,3,64FF00,000000
1492NZBG3551,AT,149,New Lynn To Sturges Road Via Great North Road And Sunnyvale And Henderson,3,64FF00,000000
1493NZBG3552,AT,149,Sturges Road To New Lynn,3,64FF00,000000
1502NZBG3553,AT,150,Britomart To Sturges Road Night Flexi Via Glen Eden,3,64FF00,000000
1503NZBG1938,AT,15F,Henderson To Downtown Flyer Via Glen Eden,3,64FF00,000000
1504NZBG3839,AT,15F,Britomart To Henderson Flyer Via Glen Eden,3,64FF00,000000
1541NZBG3554,AT,154,Henderson To Britomart  Via Glen Eden And New Lynn And Great North Road,3,64FF00,000000
1542NZBG3555,AT,154,Britomart To Henderson Via Glen Eden,3,64FF00,000000
1543NZBG3607,AT,154,Henderson To New Lynn Via Great North Road And Glen Eden,3,64FF00,000000
1544NZBG3608,AT,154,New Lynn To Henderson Via Glen Eden,3,64FF00,000000
1545NZBG3609,AT,154X,Henderson To Britomart Express Via Glen Eden And Great North Road,3,64FF00,000000
1562NZBG3610,AT,156,Britomart To Forest Hill Rd Via  Glen Eden,3,64FF00,000000
1564NZBG3611,AT,156,New Lynn To Forest Hill Via Glen Eden,3,64FF00,000000
1581NZBG3612,AT,158,Forest Hill To Britomart,3,64FF00,000000
1631NZBG3556,AT,163,Henderson To Britomart Via Glen Eden And New Lynn,3,64FF00,000000
1632NZBG3661,AT,163,Britomart To Henderson Via Glen Eden,3,64FF00,000000
1633NZBG3614,AT,163,Henderson To New Lynn Via Great North Road And Glen Eden,3,64FF00,000000
1634NZBG3558,AT,163,New Lynn To Henderson Via Glen Eden,3,64FF00,000000
1635NZBG3694,AT,163,Henderson To Patiki Rd Via Glen Eden And New Lynn And Great North Road,3,64FF00,000000
1636NZBG3840,AT,163X,Britomart To Henderson Express Via Glen Eden,3,64FF00,000000
1637NZBG0650,AT,163X,Henderson To Britomart Express Via Glen Eden,3,64FF00,000000
1641NZBG3616,AT,164,Henderson To Britomart  Via Glen Eden,3,64FF00,000000
1702NZBG3559,AT,170,New Lynn To Titirangi South Night Flexi,3,64FF00,000000
1732NZBG3617,AT,173,Britomart To Titirangi South,3,64FF00,000000
1733NZBG3618,AT,173,Titirangi South To Britomart,3,64FF00,000000
1734NZBG3560,AT,173,New Lynn To Titirangi South,3,64FF00,000000
1735NZBG3561,AT,173,Titirangi South To New Lynn,3,64FF00,000000
1736NZBG3619,AT,173,New Lynn To Titirangi South Via Beach,3,64FF00,000000
1737NZBG3620,AT,173,Titirangi Beach To Britomart,3,64FF00,000000
1751NZBG3621,AT,175,Titirangi To New Lynn Via Atkinson Ave,3,64FF00,000000
1771RT3675,AT,177,Laingholm To Britomart,3,FFDCDC,0000FF
1772RT3676,AT,177,Britomart To Laingholm,3,FFDCDC,0000FF
1773RT3677,AT,177,Laingholm To New Lynn,3,FFDCDC,0000FF
1774RT3678,AT,177,New Lynn To Laingholm,3,FFDCDC,0000FF
1792NZBG3622,AT,179,Britomart To Titirangi,3,64FF00,000000
1793NZBG3562,AT,179,Titirangi To New Lynn,3,64FF00,000000
1794NZBG3563,AT,179,New Lynn To Titirangi,3,64FF00,000000
1796NZBG3623,AT,179,New Lynn To Titirangi Village And Atkinson Rd,3,64FF00,000000
1801NZBG3624,AT,180,Tanekaha To New Lynn Via Titirangi Beach And Titirangi,3,64FF00,000000
1802NZBG3625,AT,180,New Lynn To Tanekaha Via Titirangi And Titirangi Beach,3,64FF00,000000
1811NZBG3626,AT,181,Golf Road To Britomart,3,64FF00,000000
1812NZBG3783,AT,181,New Lynn To Tanekaha Via Seabrooke Ave And Takahe Road,3,64FF00,000000
1813NZBG3784,AT,181,Tanekaha To New Lynn Via Takahe Road And Seabrooke Ave,3,64FF00,000000
1822NZBG3629,AT,182,New Lynn To Green Bay,3,64FF00,000000
1831NZBG3518,AT,183,Blockhouse Bay To Britomart,3,64FF00,000000
1842NZBG3519,AT,184,New Lynn To Green Bay Via Astley Ave,3,64FF00,000000
1851UE3697,AT,185,New Lynn To Blockhouse Bay,3,DCC8FF,C80000
1852UE3698,AT,185,Blockhouse Bay To New Lynn,3,DCC8FF,C80000
1871NZBGS3520,AT,187,Green Bay To Avondale College,3,FFFFFF,000000
1881NZBG3521,AT,188X,Blockhouse Bay To Britomart Express,3,64FF00,000000
1882NZBG3522,AT,188X,Britomart To Blockhouse Bay Via Green Bay,3,64FF00,000000
1891NZBG3790,AT,189,Tanekaha To New Lynn,3,64FF00,000000
1892NZBG3791,AT,189,New Lynn To Tanekaha Via Astley Ave And Takahe Road,3,64FF00,000000
1893NZBG3792,AT,189X,Tanekaha To Britomart Express,3,64FF00,000000
1894NZBG3793,AT,189X,Britomart To Tanekaha Express,3,64FF00,000000
1900NZBG3864,AT,19X,Britomart To Green Bay Express,3,64FF00,000000
1900UE3864,AT,19X,Britomart To Green Bay Express,3,DCC8FF,C80000
1909UE3528,AT,19X,Green Bay To Britomart Express,3,DCC8FF,C80000
1911UE0195,AT,191,Blockhouse Bay To Britomart Via Taylor St,3,DCC8FF,C80000
1912UE3664,AT,191,Britomart To Blockhouse Bay Via Taylor St,3,DCC8FF,C80000
1922NZBG3529,AT,192,Britomart To Green Bay Via Taylor St And Blockhouse Bay,3,64FF00,000000
1931NZBG3488,AT,193,Green Bay To Britomart Via Blockhouse Bay And Taylor St,3,64FF00,000000
1934NZBG3489,AT,193,Britomart To  Green Bay Via Taylor St And Blockhouse Bay,3,64FF00,000000
1961NZBG0191,AT,196,Blockhouse Bay To Britomart,3,64FF00,000000
1962NZBG3530,AT,196,Britomart To Blockhouse Bay,3,64FF00,000000
1962UE3530,AT,196,Britomart To Blockhouse Bay,3,DCC8FF,C80000
1971NZBG0627,AT,197,Green Bay To Britomart Via Blockhouse Bay,3,64FF00,000000
1971UE0627,AT,197,Green Bay To Britomart Via Blockhouse Bay,3,DCC8FF,C80000
1972UE3490,AT,197,Britomart To Green Bay Via Blockhouse Bay,3,DCC8FF,C80000
1974UE3659,AT,197X,Britomart To Green Bay Via Blockhouse Bay Express,3,DCC8FF,C80000
1981NZBG3453,AT,198,Green Bay To Britomart Via Blockhouse Bay,3,64FF00,000000
1981UE3453,AT,198,Green Bay To Britomart Via Blockhouse Bay,3,DCC8FF,C80000
1982NZBG3501,AT,198,Downtown To New Lynn Via Green Bay,3,64FF00,000000
1982UE3501,AT,198,Downtown To New Lynn Via Green Bay,3,DCC8FF,C80000
1983UE3631,AT,198X,Green Bay To Britomart Via Blockhouse Bay Express,3,DCC8FF,C80000
1984UE3660,AT,198X,Britomart To Green Bay Via Blockhouse Bay Express,3,DCC8FF,C80000
1991UE3454,AT,199,Green Bay To Britomart Via Blockhouse Bay,3,DCC8FF,C80000
1992UE3502,AT,199,Britomart To Green Bay Via Blockhouse Bay,3,DCC8FF,C80000
1993UE3455,AT,199,New Lynn To Blockhouse Bay Via Green Bay,3,DCC8FF,C80000
1994UE3503,AT,199,Blockhouse Bay To New Lynn Via Green Bay,3,DCC8FF,C80000
2001NZBM0529,AT,200,Woodward Rd To Midtown Limited Stops,3,00F0FF,000000
2002NZBM0530,AT,200,Mid Town To Woodward Rd Limited Stops,3,00F0FF,000000
2051NZBM0215,AT,205,Avondale To Midtown Via Bond Street,3,00F0FF,000000
2052NZBM0208,AT,205,Midtown To Avondale Via Bond Street,3,00F0FF,000000
2053NZBM0580,AT,205,Woodard Rd To Midtown,3,00F0FF,000000
2063NZBG3633,AT,206,Blockhouse Bay To Britomart Via Bond St,3,64FF00,000000
2071UE3770,AT,207,Green Bay To Britomart,3,DCC8FF,C80000
2072UE3494,AT,207,Britomart To Green Bay Via Bond St And Blockhouse Bay,3,DCC8FF,C80000
2101NZBM0210,AT,210,Avondale To Midtown,3,00F0FF,000000
2102NZBM2164,AT,210,Midtown To Avondale,3,00F0FF,000000
2103NZBM0217,AT,210,Woodward Ave To Midtown,3,00F0FF,000000
2104NZBM2177,AT,210,Midtown To Woodward Rd,3,00F0FF,000000
2111NZBM0211,AT,211,Rosebank Road To Midtown,3,00F0FF,000000
