service_id,date,exception_type
aaKA1209-KA1209Wk-Weekday-11,20130329,2
aaKA1209-KA1206Su-Sunday-03,20130331,2
abKSPR13-KAMSPR13-Sunday-04,20130520,1
abKSPR13-KAMSPR13-Weekday-01,20130520,2
acKESE12-KDrPh1-Weekday-08,20130329,2
acKESE12-KDrPh1-Weekday-08-0000100,20130329,2
acKESE12-KPhsun-Sunday-05,20130329,1
adKL1305-KL1305SU-Sunday-02,20130520,1
adKL1305-KL1305WK-Weekday-03,20130520,2
aeSQU12-SQWKY10-Weekday-03,20121225,2
aeSQU12-SQWKY10-Weekday-03-0000100,20121225,2
aeSQU12-SQWKY10-Weekday-03,20121226,2
aeSQU12-SQWKY10-Weekday-03-0000100,20121226,2
aeSQU12-SQWKY10-Weekday-03,20130101,2
aeSQU12-SQWKY10-Weekday-03-0000100,20130101,2
aeSQU12-SQWKY10-Weekday-03,20130211,2
aeSQU12-SQWKY10-Weekday-03-0000100,20130211,2
aeSQU12-SQWKY10-Weekday-03,20130401,2
aeSQU12-SQWKY10-Weekday-03-0000100,20130401,2
aeSQU12-SQWKY10-Weekday-03,20130520,2
aeSQU12-SQWKY10-Weekday-03-0000100,20130520,2
aeSQU12-SQWKY10-Weekday-03,20130701,2
aeSQU12-SQWKY10-Weekday-03-0000100,20130701,2
aeSQU12-SQWKY10-Weekday-03,20130805,2
aeSQU12-SQWKY10-Weekday-03-0000100,20130805,2
aeSQU12-SQWKY10-Weekday-03,20130902,2
aeSQU12-SQWKY10-Weekday-03-0000100,20130902,2
aeSQU12-SQWKY10-Weekday-03,20131014,2
aeSQU12-SQWKY10-Weekday-03-0000100,20131014,2
aeSQU12-SQWKY10-Weekday-03,20131111,2
aeSQU12-SQWKY10-Weekday-03-0000100,20131111,2
aeSQU12-SQWKY10-Weekday-03,20131225,2
aeSQU12-SQWKY10-Weekday-03-0000100,20131225,2
aeSQU12-SQWKY10-Weekday-03,20131226,2
aeSQU12-SQWKY10-Weekday-03-0000100,20131226,2
afAPR13-WKYAPR13-Weekday-01,20130329,2
afAPR13-WKYAPR13-Weekday-01-0000100,20130329,2
afAPR13-WKYAPR13-Weekday-01-1111000,20130329,2
afAPR13-WKYAPR13-Weekday-01,20130401,2
afAPR13-WKYAPR13-Weekday-01-0000100,20130401,2
afAPR13-WKYAPR13-Weekday-01-1111000,20130401,2
afAPR13-WKYAPR13-Weekday-01,20130520,2
afAPR13-WKYAPR13-Weekday-01-0000100,20130520,2
afAPR13-WKYAPR13-Weekday-01-1111000,20130520,2
afJAN13-SUNSTAT2-Sunday-01,20130329,1
afJAN13-ShStStVS-Saturday-01,20130401,1
afAPR13-SUNSTAT2-Sunday-01,20130520,1
