stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,stop_short_name
100001,northbound Government NS Belleville (Stop ID: 100001),48.420337,-123.368754,0,,Government at Belleville
100002,southbound Government FS Belleville (Stop ID: 100002),48.419737,-123.368941,0,,Government at Belleville
100003,Bay 4 at Parliament Buildings (Stop ID: 100003),48.419141,-123.368942,0,,Bay 4
100004,westbound Superior FS Government (Stop ID: 100004),48.418292,-123.369349,0,,Superior at Government
100005,westbound Belleville FS Douglas (Stop ID: 100005),48.420456,-123.367347,0,,Belleville at Douglas
100006,eastbound Superior FS Government (Stop ID: 100006),48.418266,-123.368052,0,,Superior at Government
100007,eastbound Superior FS Menzies (Stop ID: 100007),48.418012,-123.371875,0,,Superior at Menzies
100008,westbound Superior FS Menzies (Stop ID: 100008),48.418261,-123.372801,0,,Superior at Menzies
100009,southbound Patrica Bay FS Haliburton (Stop ID: 100009),48.51395,-123.384455,0,,Patrica Bay at Haliburton
100010,northbound Douglas FS Belleville (Stop ID: 100010),48.420992,-123.366113,0,,Douglas at Belleville
100011,southbound Menzies FS Superior (Stop ID: 100011),48.417842,-123.372635,0,,Menzies at Superior
100012,northbound Douglas NS Elliot Street (Stop ID: 100012),48.419223,-123.365871,0,,Douglas at Elliot Street
100013,northbound Menzies FS Michigan (Stop ID: 100013),48.417181,-123.372861,0,,Menzies at Michigan
100015,southbound Humboldt NS Penwell (Stop ID: 100015),48.421533,-123.36537,0,,Humboldt at Penwell
100016,eastbound Sooke FS Townsend (Stop ID: 100016),48.37837,-123.722045,0,,Sooke at Townsend
100017,eastbound Burdett FS Douglas (Stop ID: 100017),48.422044,-123.365448,0,,Burdett at Douglas
100018,eastbound 5250 block Sooke (Stop ID: 100018),48.389049,-123.642864,0,,5250 Sooke
100019,southbound Douglas FS Courtney (Stop ID: 100019),48.422729,-123.365951,0,,Douglas at Courtney
100020,northbound Douglas NS Courtney (Stop ID: 100020),48.42269,-123.365665,0,,Douglas at Courtney
100021,eastbound Superior FS Oswego (Stop ID: 100021),48.419392,-123.376034,0,,Superior at Oswego
100022,southbound Menzies FS Michigan (Stop ID: 100022),48.416596,-123.373298,0,,Menzies at Michigan
100023,southbound Oswego FS Superior (Stop ID: 100023),48.419298,-123.376726,0,,Oswego at Superior
100024,Bay 3 at Blanshard Terminus (Stop ID: 100024),48.421222,-123.363362,0,,Bay 3
100025,Bay 1 at Blanshard Terminus (Stop ID: 100025),48.421881,-123.36407,0,,Bay 1
100026,northbound Government FS Broughton (Stop ID: 100026),48.424259,-123.367943,0,,Government at Broughton
100027,westbound Toronto NS Huntington (Stop ID: 100027),48.415879,-123.366885,0,,Toronto at Huntington
100028,eastbound Fort NS Langley (Stop ID: 100028),48.424948,-123.368905,0,,Fort at Langley
100029,Bay 3 at Parliament Buildings (Stop ID: 100029),48.418968,-123.368941,0,,Bay 3
100030,northbound Oswego NS Michigan (Stop ID: 100030),48.418757,-123.37715,0,,Oswego at Michigan
100031,northbound Menzies FS Simcoe (Stop ID: 100031),48.415561,-123.373733,0,,Menzies at Simcoe
100032,northbound Douglas NS Fort (Stop ID: 100032),48.42436,-123.365254,0,,Douglas at Fort
100033,eastbound Fort FS Douglas (Stop ID: 100033),48.424464,-123.364578,0,,Fort at Douglas
100034,southbound Douglas NS Fort (Stop ID: 100034),48.424965,-123.365397,0,,Douglas at Fort
100035,westbound Fairfield FS Quadra (Stop ID: 100035),48.420206,-123.36074,0,,Fairfield at Quadra
100036,southbound Menzies FS Simcoe (Stop ID: 100036),48.414947,-123.374442,0,,Menzies at Simcoe
100037,northbound Douglas FS Avalon (Stop ID: 100037),48.414869,-123.366292,0,,Douglas at Avalon
100038,eastbound Avalon NS Douglas (Stop ID: 100038),48.414674,-123.36689,0,,Avalon at Douglas
100039,eastbound Fairfield NS Quadra (Stop ID: 100039),48.420182,-123.360993,0,,Fairfield at Quadra
100040,westbound Humboldt NS Quadra (Stop ID: 100040),48.418809,-123.361062,0,,Humboldt at Quadra
100041,eastbound Humboldt FS Quadra (Stop ID: 100041),48.418614,-123.361003,0,,Humboldt at Quadra
100042,southbound Douglas NS View (Stop ID: 100042),48.425751,-123.365188,0,,Douglas at View
100043,eastbound Fairfield FS Quadra (Stop ID: 100043),48.419355,-123.360263,0,,Fairfield at Quadra
