route_id,service_id,block_id,trip_id,trip_sequence,trip_type,trip_headsign,direction_id,pattern_id,pattern_count,direction_code,pattern_code,pattern_rank,hierarchy
9-Kamloops,aaKA1209-KA1206Su-Sunday-03,331470,aa1934934,1,0,Upper Sahali,0,,89,1,221,43,2
9-Kamloops,aaKA1209-KA1206Su-Sunday-03,331470,aa1934918,2,0,Downtown,0,,129,0,120,39,2
1-Kamloops,aaKA1209-KA1206Su-Sunday-03,331470,aa1934904,3,0,Brocklehurst,0,,1284,1,200,4,1
1-Kamloops,aaKA1209-KA1206Su-Sunday-03,331470,aa1934726,4,0,Downtown,0,,1379,0,100,3,1
9-Kamloops,aaKA1209-KA1206Su-Sunday-03,331470,aa1934857,5,0,Upper Sahali,0,,135,1,220,38,2
9-Kamloops,aaKA1209-KA1206Su-Sunday-03,331470,aa1934867,6,0,Downtown,0,,129,0,120,39,2
1-Kamloops,aaKA1209-KA1206Su-Sunday-03,331470,aa1934716,7,0,Brocklehurst,0,,1284,1,200,4,1
1-Kamloops,aaKA1209-KA1206Su-Sunday-03,331470,aa1934728,8,0,Downtown,0,,1379,0,100,3,1
9-Kamloops,aaKA1209-KA1206Su-Sunday-03,331470,aa1934859,9,0,Upper Sahali,0,,135,1,220,38,2
9-Kamloops,aaKA1209-KA1206Su-Sunday-03,331470,aa1934869,10,0,Downtown,0,,129,0,120,39,2
6-Kamloops,aaKA1209-KA1206Su-Sunday-03,331470,aa1934831,11,0,Downtown,0,,499,0,100,15,1
17-Kamloops,aaKA1209-KA1206Su-Sunday-03,331470,aa1934883,12,0,Dallas,0,,153,0,106,35,1
17-Kamloops,aaKA1209-KA1206Su-Sunday-03,331470,aa1934888,13,0,Downtown,0,,212,0,100,29,1
5-Kamloops,aaKA1209-KA1206Su-Sunday-03,331470,aa1934818,14,0,Pineview,0,,40,1,240,49,3
5-Kamloops,aaKA1209-KA1206Su-Sunday-03,331470,aa1934824,15,0,Downtown,0,,40,0,140,50,3
4-Kamloops,aaKA1209-KA1206Su-Sunday-03,331470,aa1934808,16,0,Aberdeen,0,,20,1,240,63,3
4-Kamloops,aaKA1209-KA1206Su-Sunday-03,331470,aa1934813,17,0,Downtown,0,,20,0,140,62,3
2-Kamloops,aaKA1209-KA1206Su-Sunday-03,331470,aa1934742,18,0,Brocklehurst,0,,896,1,200,10,1
2-Kamloops,aaKA1209-KA1206Su-Sunday-03,331470,aa1934752,19,0,Downtown,0,,1005,0,100,8,1
7-Kamloops,aaKA1209-KA1206Su-Sunday-03,331470,aa1934847,20,0,Aberdeen,0,,210,1,201,31,1
7-Kamloops,aaKA1209-KA1206Su-Sunday-03,331470,aa1934856,21,0,Downtown,0,,210,0,120,30,2
6-Kamloops,aaKA1209-KA1206Su-Sunday-03,331470,aa1934922,22,0,Downtown,0,,62,0,120,46,2
2-Kamloops,aaKA1209-KA1206Su-Sunday-03,331471,aa1934907,1,0,Downtown,0,,1005,0,100,8,1
7-Kamloops,aaKA1209-KA1206Su-Sunday-03,331471,aa1934915,2,0,Aberdeen,0,,210,1,201,31,1
7-Kamloops,aaKA1209-KA1206Su-Sunday-03,331471,aa1934916,3,0,Downtown,0,,210,0,120,30,2
4-Kamloops,aaKA1209-KA1206Su-Sunday-03,331471,aa1934910,4,0,Aberdeen,0,,335,1,201,26,1
4-Kamloops,aaKA1209-KA1206Su-Sunday-03,331471,aa1934911,5,0,Downtown,0,,303,0,101,28,1
17-Kamloops,aaKA1209-KA1206Su-Sunday-03,331471,aa1934884,6,0,Dallas,0,,153,0,106,35,1
17-Kamloops,aaKA1209-KA1206Su-Sunday-03,331471,aa1934887,7,0,Downtown,0,,212,0,100,29,1
6-Kamloops,aaKA1209-KA1206Su-Sunday-03,331471,aa1934830,8,0,Downtown,0,,499,0,100,15,1
3-Kamloops,aaKA1209-KA1206Su-Sunday-03,331472,aa1934909,1,0,Downtown,0,,1262,0,100,5,1
5-Kamloops,aaKA1209-KA1206Su-Sunday-03,331472,aa1934912,2,0,Pineview,0,,40,1,240,49,3
5-Kamloops,aaKA1209-KA1206Su-Sunday-03,331472,aa1934913,3,0,Downtown,0,,40,0,140,50,3
6-Kamloops,aaKA1209-KA1206Su-Sunday-03,331472,aa1934827,4,0,Downtown,0,,62,0,120,46,2
16-Kamloops,aaKA1209-KA1206Su-Sunday-03,331472,aa1934766,5,0,Juniper Ridge,0,,448,1,200,17,1
16-Kamloops,aaKA1209-KA1206Su-Sunday-03,331472,aa1934776,6,0,Downtown,0,,474,0,100,16,1
14-Kamloops,aaKA1209-KA1206Su-Sunday-03,331472,aa1934897,7,0,Batchelor Heights,0,,388,0,100,22,1
14-Kamloops,aaKA1209-KA1206Su-Sunday-03,331472,aa1934901,8,0,North Shore,0,,336,1,200,25,1
13-Kamloops,aaKA1209-KA1206Su-Sunday-03,331472,aa1934756,9,0,Heffley Creek,0,,335,1,200,27,1
13-Kamloops,aaKA1209-KA1206Su-Sunday-03,331472,aa1934760,10,0,North Shore,0,,366,0,100,24,1
6-Kamloops,aaKA1209-KA1206Su-Sunday-03,331473,aa1934914,1,0,Downtown,0,,62,0,120,46,2
3-Kamloops,aaKA1209-KA1206Su-Sunday-03,331473,aa1934908,2,0,Westsyde,0,,1204,1,200,6,1
3-Kamloops,aaKA1209-KA1206Su-Sunday-03,331473,aa1934804,3,0,Downtown,0,,1262,0,100,5,1
3-Kamloops,aaKA1209-KA1206Su-Sunday-03,331473,aa1934785,4,0,Westsyde,0,,1204,1,200,6,1
3-Kamloops,aaKA1209-KA1206Su-Sunday-03,331473,aa1934795,5,0,Downtown,0,,1262,0,100,5,1
7-Kamloops,aaKA1209-KA1206Su-Sunday-03,331473,aa1934840,6,0,Aberdeen,0,,210,1,201,31,1
7-Kamloops,aaKA1209-KA1206Su-Sunday-03,331473,aa1934849,7,0,Downtown,0,,210,0,120,30,2
16-Kamloops,aaKA1209-KA1206Su-Sunday-03,331473,aa1934768,8,0,Juniper Ridge,0,,448,1,200,17,1
16-Kamloops,aaKA1209-KA1206Su-Sunday-03,331473,aa1934778,9,0,Downtown,0,,474,0,100,16,1
