service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
A51743AVVBSK-011,0,0,0,0,0,0,1,20120422,20120729
A54748AHCBSK-011,1,1,1,1,0,0,0,20120420,20120614
A54818ASZBSK-011,0,0,0,0,0,1,0,20120428,20120728
A55668APPBSK-011,0,0,0,0,1,0,0,20120427,20120615
A56291ASVNT-0011,0,0,0,0,0,1,1,20120422,20120728
A59730AHPSzGy011,1,1,1,1,1,0,0,20120420,20120731
A59785K1HPPG-0011,1,1,1,1,1,0,0,20120421,20120731
A59787AHPNT-0011,1,1,1,1,1,0,0,20120420,20120615
A62102ÜNVVCsZ-011,0,0,0,0,0,0,1,20120501,20120729
A65118AHPGPP-021,1,1,1,1,1,0,0,20120420,20120615
A65120AVVGPP-021,0,0,0,0,0,0,1,20120422,20120729
A67787K1HCVP-0011,1,1,1,1,0,0,0,20120618,20120731
A67788K1PPVP-0011,0,0,0,0,1,0,0,20120421,20120727
A68675ASZSzGy031,0,0,0,0,0,1,0,20120428,20120728
A68755K1HPSzGy021,1,1,1,1,1,0,0,20120421,20120731
A69030ASZBSK-011,0,0,0,0,0,1,0,20120428,20120728
A69165ASZSZM011,0,0,0,0,0,1,0,20120428,20120728
A69182AHCSzGy031,1,1,1,1,0,0,0,20120420,20120731
A69183APPSzGy031,0,0,0,0,1,0,0,20120421,20120727
A69360K1HCGPP-011,1,1,1,1,0,0,0,20120618,20120731
A69361K1PPGPP-011,0,0,0,0,1,0,0,20120421,20120727
A71075AVVSzGy031,0,0,0,0,0,0,1,20120422,20120429
A71212APPGPP-021,0,0,0,0,1,0,0,20120427,20120615
A71272ASZGPP-021,0,0,0,0,0,1,0,20120428,20120728
A71383K1HPGPP-011,1,1,1,1,1,0,0,20120421,20120731
A71387ASZGPP-021,0,0,0,0,0,1,0,20120428,20120728
A71468K1HPCsZ-021,1,1,1,1,1,0,0,20120421,20120731
A71573ASVSzGy011,0,0,0,0,0,1,1,20120422,20120728
A72157ASZGPP-031,0,0,0,0,0,1,0,20120428,20120728
A72159K1HPGPP-021,1,1,1,1,1,0,0,20120421,20120731
A72229K1HPTF-0011,1,1,1,1,1,0,0,20120421,20120731
A72529K1PPGPP-011,0,0,0,0,1,0,0,20120421,20120727
A72530K1HCGPP-011,1,1,1,1,0,0,0,20120618,20120731
A72723K1HPMK-011,1,1,1,1,1,0,0,20120421,20120731
A72725K1HPMK-011,1,1,1,1,1,0,0,20120421,20120731
A72726K1HPMK-011,1,1,1,1,1,0,0,20120421,20120731
A72730K1HPMK-011,1,1,1,1,1,0,0,20120421,20120731
A72773K1HPGPP-011,1,1,1,1,1,0,0,20120421,20120731
A72776K1HPGPP-011,1,1,1,1,1,0,0,20120421,20120731
A72876K1HPGPP-011,1,1,1,1,1,0,0,20120421,20120421
A72895K1HCGPP-021,1,1,1,1,0,0,0,20120618,20120731
A72896K1PPGPP-021,0,0,0,0,1,0,0,20120421,20120727
A72989K1HPGPP-011,1,1,1,1,1,0,0,20120421,20120731
A73090K1HPGPP-011,1,1,1,1,1,0,0,20120421,20120731
A73091K1HPGPP-021,1,1,1,1,1,0,0,20120421,20120731
A73093K1HPGPP-011,1,1,1,1,1,0,0,20120421,20120731
A73095K1HPGPP-011,1,1,1,1,1,0,0,20120421,20120731
A73150ASVSzGy011,0,0,0,0,0,1,1,20120422,20120728
A73151AHCGPP-021,1,1,1,1,0,0,0,20120420,20120614
A73185AHCGPP-041,1,1,1,1,0,0,0,20120420,20120614
A73187APPGPP-041,0,0,0,0,1,0,0,20120427,20120615
A73190APPGPP-021,0,0,0,0,1,0,0,20120427,20120615
A73201K1HPGPP-011,1,1,1,1,1,0,0,20120421,20120731
A73209K1HPGPP-021,1,1,1,1,1,0,0,20120618,20120731
A73212ASZGPP-021,0,0,0,0,0,1,0,20120428,20120728
A73215AVVGPP-021,0,0,0,0,0,0,1,20120422,20120729
A73359K1HPPG-0011,1,1,1,1,1,0,0,20120421,20120731
A73394ASVGPP-041,0,0,0,0,0,1,1,20120501,20120729
A73455ASZMK-011,0,0,0,0,0,1,0,20120428,20120428
A73580APPGPP-021,0,0,0,0,1,0,0,20120427,20120615
A73721ASVPG-0011,0,0,0,0,0,1,1,20120422,20120728
A73738ASZKG-0011,0,0,0,0,0,1,0,20120428,20120728
A73749ASZGPP-021,0,0,0,0,0,1,0,20120428,20120728
A73764K1HPKG-0011,1,1,1,1,1,0,0,20120421,20120731
A73787K1HPGPP-011,1,1,1,1,1,0,0,20120421,20120731
A73989APPSZM011,0,0,0,0,1,0,0,20120427,20120615
A74032K1HPCsZ-031,1,1,1,1,1,0,0,20120421,20120731
A74485K1HPSzGy021,1,1,1,1,1,0,0,20120421,20120731
A74498K1HPSzGy021,1,1,1,1,1,0,0,20120421,20120731
A74620K1HPCsZ-041,1,1,1,1,1,0,0,20120421,20120731
A74789K1HPSZ-0021,1,1,1,1,1,0,0,20120421,20120731
A74942ASZSRM-011,0,0,0,0,0,1,0,20120428,20120728
A75013K1HPPG-0031,1,1,1,1,1,0,0,20120421,20120731
A75028K1HPCsZ-011,1,1,1,1,1,0,0,20120421,20120731
A75186K1HPPG-0021,1,1,1,1,1,0,0,20120421,20120731
A75486K1HPPG-0021,1,1,1,1,1,0,0,20120421,20120731
A75750K1HPSRM-011,1,1,1,1,1,0,0,20120421,20120731
A75794K1HPPG-0051,1,1,1,1,1,0,0,20120421,20120731
A75823K1HPCsZ-011,1,1,1,1,1,0,0,20120421,20120731
A76231K1HPPG-0011,1,1,1,1,1,0,0,20120421,20120731
A76479K1HCMA-0011,1,1,1,1,0,0,0,20120618,20120731
A76613K1PPMA-0011,0,0,0,0,1,0,0,20120421,20120727
A76911ASZSRM-011,0,0,0,0,0,1,0,20120428,20120728
A76912AVVSRM-011,0,0,0,0,0,0,1,20120422,20120729
A76946AHCSRM-011,1,1,1,1,0,0,0,20120420,20120614
A76947APPSRM-011,0,0,0,0,1,0,0,20120427,20120615
A77042ASZMK-011,0,0,0,0,0,1,0,20120428,20120728
A77296K1HPMA-0021,1,1,1,1,1,0,0,20120421,20120731
A77700RPPSRM-021,0,0,0,0,1,0,0,20120427,20120615
A77791AHCSRM-021,1,1,1,1,0,0,0,20120420,20120614
A77792APPSRM-021,0,0,0,0,1,0,0,20120427,20120615
A77793ASZSRM-021,0,0,0,0,0,1,0,20120428,20120728
A77794AVVSRM-021,0,0,0,0,0,0,1,20120422,20120729
A77809K1HPMA-0011,1,1,1,1,1,0,0,20120421,20120731
A77818K1HPCsz-011,1,1,1,1,1,0,0,20120421,20120731
A77886K1HPPG-0011,1,1,1,1,1,0,0,20120421,20120731
A78124K1HPCsZ-031,1,1,1,1,1,0,0,20120421,20120731
A78124K1HPCsZ-041,1,1,1,1,1,0,0,20120421,20120731
A78210K1HPSRM-011,1,1,1,1,1,0,0,20120421,20120731
A78364K1HCCsZ-041,1,1,1,1,0,0,0,20120618,20120731
A78365K1PPCsZ-041,0,0,0,0,1,0,0,20120622,20120727
A78794AHCPG-0041,1,1,1,1,0,0,0,20120420,20120614
A78795APPPG-0041,0,0,0,0,1,0,0,20120427,20120615
A78796K1HPPG-0041,1,1,1,1,1,0,0,20120421,20120731
