service_id,date,exception_type
A51743AVVBSK-011,20120501,1
A51743AVVBSK-011,20120528,1
A54748AHCBSK-011,20120420,1
A54748AHCBSK-011,20120430,2
A54748AHCBSK-011,20120501,2
A54748AHCBSK-011,20120528,2
A54818ASZBSK-011,20120430,1
A56291ASVNT-0011,20120430,1
A56291ASVNT-0011,20120506,2
A56291ASVNT-0011,20120513,2
A56291ASVNT-0011,20120520,2
A56291ASVNT-0011,20120527,2
A56291ASVNT-0011,20120603,2
A56291ASVNT-0011,20120610,2
A56291ASVNT-0011,20120617,2
A56291ASVNT-0011,20120624,2
A56291ASVNT-0011,20120701,2
A56291ASVNT-0011,20120708,2
A56291ASVNT-0011,20120715,2
A56291ASVNT-0011,20120722,2
A59730AHPSzGy011,20120421,1
A59730AHPSzGy011,20120430,2
A59730AHPSzGy011,20120501,2
A59730AHPSzGy011,20120528,2
A59785K1HPPG-0011,20120421,1
A59785K1HPPG-0011,20120423,2
A59785K1HPPG-0011,20120424,2
A59785K1HPPG-0011,20120425,2
A59785K1HPPG-0011,20120426,2
A59785K1HPPG-0011,20120427,2
A59785K1HPPG-0011,20120430,2
A59785K1HPPG-0011,20120501,2
A59785K1HPPG-0011,20120502,2
A59785K1HPPG-0011,20120503,2
A59785K1HPPG-0011,20120504,2
A59785K1HPPG-0011,20120507,2
A59785K1HPPG-0011,20120508,2
A59785K1HPPG-0011,20120509,2
A59785K1HPPG-0011,20120510,2
A59785K1HPPG-0011,20120511,2
A59785K1HPPG-0011,20120514,2
A59785K1HPPG-0011,20120515,2
A59785K1HPPG-0011,20120516,2
A59785K1HPPG-0011,20120517,2
A59785K1HPPG-0011,20120518,2
A59785K1HPPG-0011,20120521,2
A59785K1HPPG-0011,20120522,2
A59785K1HPPG-0011,20120523,2
A59785K1HPPG-0011,20120524,2
A59785K1HPPG-0011,20120525,2
A59785K1HPPG-0011,20120528,2
A59785K1HPPG-0011,20120529,2
A59785K1HPPG-0011,20120530,2
A59785K1HPPG-0011,20120531,2
A59785K1HPPG-0011,20120601,2
A59785K1HPPG-0011,20120604,2
A59785K1HPPG-0011,20120605,2
A59785K1HPPG-0011,20120606,2
A59785K1HPPG-0011,20120607,2
A59785K1HPPG-0011,20120608,2
A59785K1HPPG-0011,20120611,2
A59785K1HPPG-0011,20120612,2
A59785K1HPPG-0011,20120613,2
