route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color
HP61,BKV,H8H,,"Kistarcsa, kórház H / Gödöllő H",3,1188FF,000000
HP611,BKV,H8,,"Örs vezér tere M+H / Cinkota H",3,1188FF,000000
HP612,BKV,H8,,"Auchan Liget / Gödöllő H",3,1188FF,000000
HP614,BKV,H8HE,,"Kistarcsa, kórház H / Gödöllő H",3,1188FF,000000
HP615,BKV,H9,,"Örs vezér tere M+H / Csömör H",3,1188FF,000000
HP621,BKV,H6,,"Szigetszentmiklós, gyártelep / Ráckeve H",3,1188FF,000000
HP622,BKV,H6,,"Szigetszentmiklós, gyártelep / Tököl",3,1188FF,000000
HP625,BKV,H6,,"Szigetszentmiklós, gyártelep / Ráckeve H",3,1188FF,000000
VP06,BKV,6V,,"Móricz Zsigmond körtér / Széll Kálmán tér M",3,1188FF,000000
V2837,BKV,28-37V,,"Kőbánya alsó vasútállomás / Új köztemető",3,1188FF,000000
0050,BKV,5,,"Pasaréti tér / Rákospalota, Kossuth utca",3,1188FF,000000
0070,BKV,7,,"Bosnyák tér / Albertfalva vasútállomás",3,1188FF,000000
0075,BKV,7E,,"Kelenföldi pályaudvar / Bosnyák tér",3,1188FF,000000
0080,BKV,8,,"Uránia / Gazdagréti tér",3,1188FF,000000
0090,BKV,9,,"Kőbánya alsó vasútállomás / Deák Ferenc tér M",3,1188FF,000000
0110,BKV,11,,"Batthyány tér M+H / Nagybányai út",3,1188FF,000000
0130,BKV,13,,"Budatétény vasútállomás (Campona) / Diósd, Búzavirág utca",3,1188FF,000000
0131,BKV,13A,,"Budatétény vasútállomás (Campona) / Diósd, Sashegyi út",3,1188FF,000000
0150,BKV,15,,"Boráros tér H / Lehel tér M",3,1188FF,000000
0160,BKV,16,,"Széll Kálmán tér M / Deák Ferenc tér M",3,1188FF,000000
0161,BKV,16A,,"Széll Kálmán tér M / Dísz tér",3,1188FF,000000
0205,BKV,20E,,"Káposztásmegyer, Szilas-patak / Keleti pályaudvar M",3,1188FF,000000
0210,BKV,21,,"Széll Kálmán tér M / Csillebérc, KFKI",3,1188FF,000000
0211,BKV,21A,,"Széll Kálmán tér M / Normafa",3,1188FF,000000
0220,BKV,22,,"Széll Kálmán tér M / Budakeszi, Táncsics Mihály utca",3,1188FF,000000
0225,BKV,22E,,"Széll Kálmán tér M / Budakeszi, Táncsics Mihály utca",3,1188FF,000000
0230,BKV,23,,"Boráros tér H / Pesterzsébet, Ady Endre tér",3,1188FF,000000
0235,BKV,23E,,"Boráros tér H / Pesterzsébet, Ady Endre tér",3,1188FF,000000
0250,BKV,25,,"Mexikói út M / Újpest-Központ M",3,1188FF,000000
0260,BKV,26,,"Nyugati pályaudvar M / Árpád híd M",3,1188FF,000000
0270,BKV,27,,"Sánc utca / Móricz Zsigmond körtér",3,1188FF,000000
0290,BKV,29,,"Szentlélek tér H / Hűvösvölgy",3,1188FF,000000
0300,BKV,30,,"Keleti pályaudvar M / Káposztásmegyer, Mogyoródi-patak",3,1188FF,000000
0301,BKV,30A,,"Keleti pályaudvar M / Megyer, Szondi utca",3,1188FF,000000
0310,BKV,31,,"Örs vezér tere M+H / Árpádföld, Bekecs utca",3,1188FF,000000
0320,BKV,32,,"Árpád híd M / Örs vezér tere M+H",3,1188FF,000000
0330,BKV,33,,"Móricz Zsigmond körtér / Nagytétény, Chinoin",3,1188FF,000000
0335,BKV,33E,,"Móricz Zsigmond körtér / Nagytétény vasútállomás",3,1188FF,000000
0337,BKV,33,,"Móricz Zsigmond körtér / Harbor Park",3,1188FF,000000
0340,BKV,34,,"Árpád híd M / Békásmegyer, Újmegyeri tér",3,1188FF,000000
0350,BKV,35,,"Csepel, Csillagtelep / Szentlőrinci úti lakótelep",3,1188FF,000000
0360,BKV,36,,"Pestszentlőrinc vasútállomás / Csepel, Csillagtelep",3,1188FF,000000
0380,BKV,38,,"Csepel, Szent Imre tér / Lakihegy, Cseresznyés utca",3,1188FF,000000
0390,BKV,39,,"Batthyány tér M+H / Goldmark Károly utca",3,1188FF,000000
0400,BKV,40,,"Móricz Zsigmond körtér / Budaörsi lakótelep",3,1188FF,000000
0405,BKV,40E,,"Móricz Zsigmond körtér / Budaörs, Patkó utca",3,1188FF,000000
0440,BKV,44,,"Örs vezér tere M+H / Budapesti út",3,1188FF,000000
0450,BKV,45,,"Örs vezér tere M+H / Cinkota, Lassú utca",3,1188FF,000000
0460,BKV,46,,"Újpalota, Nyírpalota út / Rákoskeresztúr, városközpont",3,1188FF,000000
0530,BKV,53,,"Újbuda-központ / Mindszenty József bíboros tér",3,1188FF,000000
0540,BKV,54,,"Boráros tér H / Pestszentimre, Ültetvény utca",3,1188FF,000000
0550,BKV,55,,"Boráros tér H / Gyál, Vecsési út",3,1188FF,000000
0570,BKV,57,,"Hűvösvölgy / Hűvösvölgy",3,1188FF,000000
0580,BKV,58,,"Savoya Park / Balatoni út (Háros utca)",3,1188FF,000000
0630,BKV,63,,"Hűvösvölgy / Nagykovácsi, Tisza István tér",3,1188FF,000000
0640,BKV,64,,"Hűvösvölgy / Solymár, Templom tér",3,1188FF,000000
0650,BKV,65,,"Kolosy tér / Fenyőgyöngye",3,1188FF,000000
0660,BKV,66,,"Határ út M / Soroksár, BILK",3,1188FF,000000
0665,BKV,66E,,"Határ út M / Soroksár, BILK",3,1188FF,000000
0670,BKV,67,,"Örs vezér tere M+H / Rákoskeresztúr, Aranylúd utca",3,1188FF,000000
0680,BKV,68,,"Kispest, Vas Gereben utca / Akadémiaújtelep, 525. tér",3,1188FF,000000
0710,BKV,71,,"Csepel, Szent Imre tér / Csepel, Horgásztanya",3,1188FF,000000
0845,BKV,84E,,"Határ út M / Gyál, Deák Ferenc utca",3,1188FF,000000
