route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
001,FE,FE0010011,Cristo Rey,1,,001_B
001,FE,FE0010012,Prosperidad,0,,001_A
001,FE,FE0010013,Cristo Rey,1,,001_B
001,FE,FE0010014,Prosperidad,0,,001_A
001,FE,FE0010015,Cristo Rey,1,,001_B
001,FE,FE0010016,Prosperidad,0,,001_A
001,FE,FE0010017,Cristo Rey,1,,001_B
001,FE,FE0010018,Prosperidad,0,,001_A
001,FE,FE0010019,Cristo Rey,1,,001_B
001,FE,FE00100110,Prosperidad,0,,001_A
001,FE,FE00100111,Cristo Rey,1,,001_B
001,FE,FE00100112,Prosperidad,0,,001_A
001,FE,FE00100113,Cristo Rey,1,,001_B
001,FE,FE00100114,Prosperidad,0,,001_A
001,FE,FE00100115,Cristo Rey,1,,001_B
001,FE,FE00100116,Prosperidad,0,,001_A
001,FE,FE00100117,Cristo Rey,1,,001_B
001,FE,FE00100118,Prosperidad,0,,001_A
001,FE,FE00100119,Cristo Rey,1,,001_B
001,FE,FE00100120,Prosperidad,0,,001_A
001,FE,FE00100121,Cristo Rey,1,,001_B
001,FE,FE00100122,Prosperidad,0,,001_A
001,FE,FE0010021,Prosperidad,0,,001_A
001,FE,FE0010022,Cristo Rey,1,,001_B
001,FE,FE0010023,Prosperidad,0,,001_A
001,FE,FE0010024,Cristo Rey,1,,001_B
001,FE,FE0010025,Prosperidad,0,,001_A
001,FE,FE0010026,Cristo Rey,1,,001_B
001,FE,FE0010027,Prosperidad,0,,001_A
001,FE,FE0010028,Cristo Rey,1,,001_B
001,FE,FE0010029,Prosperidad,0,,001_A
001,FE,FE00100210,Cristo Rey,1,,001_B
001,FE,FE00100211,Prosperidad,0,,001_A
001,FE,FE00100212,Cristo Rey,1,,001_B
001,FE,FE00100213,Prosperidad,0,,001_A
001,FE,FE00100214,Cristo Rey,1,,001_B
001,FE,FE00100215,Prosperidad,0,,001_A
001,FE,FE00100216,Cristo Rey,1,,001_B
001,FE,FE00100217,Prosperidad,0,,001_A
001,FE,FE00100218,Cristo Rey,1,,001_B
001,FE,FE00100219,Prosperidad,0,,001_A
001,FE,FE00100220,Cristo Rey,1,,001_B
001,FE,FE00100221,Prosperidad,0,,001_A
001,FE,FE00100222,Cristo Rey,1,,001_B
001,FE,FE00100223,Prosperidad,0,,001_A
001,FE,FE0010031,Cristo Rey,1,,001_B
001,FE,FE0010032,Prosperidad,0,,001_A
001,FE,FE0010033,Cristo Rey,1,,001_B
001,FE,FE0010034,Prosperidad,0,,001_A
001,FE,FE0010035,Cristo Rey,1,,001_B
001,FE,FE0010036,Prosperidad,0,,001_A
001,FE,FE0010037,Cristo Rey,1,,001_B
001,FE,FE0010038,Prosperidad,0,,001_A
001,FE,FE0010039,Cristo Rey,1,,001_B
001,FE,FE00100310,Prosperidad,0,,001_A
001,FE,FE00100311,Cristo Rey,1,,001_B
001,FE,FE00100312,Prosperidad,0,,001_A
001,FE,FE00100313,Cristo Rey,1,,001_B
001,FE,FE00100314,Prosperidad,0,,001_A
001,FE,FE00100315,Cristo Rey,1,,001_B
001,FE,FE00100316,Prosperidad,0,,001_A
001,FE,FE00100317,Cristo Rey,1,,001_B
001,FE,FE00100318,Prosperidad,0,,001_A
001,FE,FE00100319,Cristo Rey,1,,001_B
001,FE,FE00100320,Prosperidad,0,,001_A
001,FE,FE00100321,Cristo Rey,1,,001_B
001,FE,FE00100322,Prosperidad,0,,001_A
001,FE,FE00100323,Cristo Rey,1,,001_B
001,FE,FE00100324,Prosperidad,0,,001_A
001,FE,FE0010041,Cristo Rey,1,,001_B
001,FE,FE0010042,Prosperidad,0,,001_A
001,FE,FE0010043,Cristo Rey,1,,001_B
001,FE,FE0010044,Prosperidad,0,,001_A
001,FE,FE0010045,Cristo Rey,1,,001_B
001,FE,FE0010046,Prosperidad,0,,001_A
001,FE,FE0010047,Cristo Rey,1,,001_B
001,FE,FE0010048,Prosperidad,0,,001_A
001,FE,FE0010049,Cristo Rey,1,,001_B
001,FE,FE00100410,Prosperidad,0,,001_A
001,FE,FE00100411,Cristo Rey,1,,001_B
001,FE,FE00100412,Prosperidad,0,,001_A
001,FE,FE00100413,Cristo Rey,1,,001_B
001,FE,FE00100414,Prosperidad,0,,001_A
001,FE,FE00100415,Cristo Rey,1,,001_B
001,FE,FE00100416,Prosperidad,0,,001_A
001,FE,FE00100417,Cristo Rey,1,,001_B
001,FE,FE00100418,Prosperidad,0,,001_A
001,FE,FE0010051,Cristo Rey,1,,001_B
001,FE,FE0010052,Prosperidad,0,,001_A
001,FE,FE0010053,Cristo Rey,1,,001_B
001,FE,FE0010054,Prosperidad,0,,001_A
001,FE,FE0010055,Cristo Rey,1,,001_B
001,FE,FE0010056,Prosperidad,0,,001_A
001,FE,FE0010057,Cristo Rey,1,,001_B
001,FE,FE0010058,Prosperidad,0,,001_A
001,FE,FE0010059,Cristo Rey,1,,001_B
001,FE,FE00100510,Prosperidad,0,,001_A
001,FE,FE00100511,Cristo Rey,1,,001_B
001,FE,FE00100512,Prosperidad,0,,001_A
001,FE,FE00100513,Cristo Rey,1,,001_B
001,FE,FE00100514,Prosperidad,0,,001_A
001,FE,FE00100515,Cristo Rey,1,,001_B
001,FE,FE0010061,Cristo Rey,1,,001_B
001,FE,FE0010062,Prosperidad,0,,001_A
001,FE,FE0010063,Cristo Rey,1,,001_B
001,FE,FE0010064,Prosperidad,0,,001_A
001,FE,FE0010065,Cristo Rey,1,,001_B
001,FE,FE0010066,Prosperidad,0,,001_A
001,FE,FE0010067,Cristo Rey,1,,001_B
001,FE,FE0010068,Prosperidad,0,,001_A
001,LA,LA0010011,Cristo Rey,1,,001_B
001,LA,LA0010012,Prosperidad,0,,001_A
001,LA,LA0010013,Cristo Rey,1,,001_B
001,LA,LA0010014,Prosperidad,0,,001_A
001,LA,LA0010015,Cristo Rey,1,,001_B
001,LA,LA0010016,Prosperidad,0,,001_A
001,LA,LA0010017,Cristo Rey,1,,001_B
001,LA,LA0010018,Prosperidad,0,,001_A
