route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
001,EMT,1,Plaza de Cristo Rey - Prosperidad,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=1,0178BC,FFFFFF
002,EMT,2,Plaza de Manuel Becerra - Avenida de Reina Victoria,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=2,0178BC,FFFFFF
003,EMT,3,Puerta de Toledo - Plaza de San Amaro,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=3,0178BC,FFFFFF
004,EMT,4,Plaza de Ciudad Lineal - Puerta de Arganda,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=4,0178BC,FFFFFF
005,EMT,5,Puerta del Sol - Estacion de Chamartín,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=5,0178BC,FFFFFF
006,EMT,6,Plaza de Benavente - Orcasitas,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=6,0178BC,FFFFFF
007,EMT,7,Plaza Alonso Martinez - Manoteras,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=7,0178BC,FFFFFF
008,EMT,8,Plaza de Legazpi - Valdebernardo,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=8,0178BC,FFFFFF
009,EMT,9,Sevilla - Hortaleza,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=9,0178BC,FFFFFF
010,EMT,10,Plaza de Cibeles - Palomeras,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=10,0178BC,FFFFFF
011,EMT,11,Marques de Viana - Barrio Blanco,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=11,0178BC,FFFFFF
012,EMT,12,Plaza de Cristo Rey - Paseo Marques de Zafra,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=12,0178BC,FFFFFF
014,EMT,14,Plaza de Conde de Casal - Avenida de Pio XII,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=14,0178BC,FFFFFF
015,EMT,15,Puerta del Sol - la Elipa,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=15,0178BC,FFFFFF
016,EMT,16,Moncloa - Avenida de Pio XII,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=16,0178BC,FFFFFF
017,EMT,17,Plaza Mayor - Colonia Parque de Europa,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=17,0178BC,FFFFFF
018,EMT,18,Plaza Mayor - Villaverde Cruce,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=18,0178BC,FFFFFF
019,EMT,19,Plaza de Cataluña - Plaza de Legazpi,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=19,0178BC,FFFFFF
020,EMT,20,Puerta del Sol - Pavones,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=20,0178BC,FFFFFF
021,EMT,21,Paseo del Pintor Rosales - Barrio el Salvador,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=21,0178BC,FFFFFF
022,EMT,22,Plaza de Legazpi - Villaverde Alto,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=22,0178BC,FFFFFF
023,EMT,23,Plaza Mayor - el Espinillo,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=23,0178BC,FFFFFF
024,EMT,24,Atocha - Pozo del Tio Raimundo,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=24,0178BC,FFFFFF
025,EMT,25,Opera - Casa de Campo,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=25,0178BC,FFFFFF
026,EMT,26,Plaza de Tirso de Molina - Diego de Leon,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=26,0178BC,FFFFFF
027,EMT,27,Glorieta de Embajadores - Plaza de Castilla,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=27,0178BC,FFFFFF
028,EMT,28,Puerta de Alcala - Barrio de Canillejas,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=28,0178BC,FFFFFF
029,EMT,29,Avenida de Felipe II - Manoteras,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=29,0178BC,FFFFFF
030,EMT,30,Avenida de Felipe II - Pavones,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=30,0178BC,FFFFFF
031,EMT,31,Plaza Mayor - Aluche,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=31,0178BC,FFFFFF
032,EMT,32,Plaza de Benavente - Pavones,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=32,0178BC,FFFFFF
033,EMT,33,Principe Pio - Casa de Campo,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=33,0178BC,FFFFFF
034,EMT,34,Plaza de Cibeles - Avenida del General Fanjul,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=34,0178BC,FFFFFF
035,EMT,35,Plaza Mayor - Carabanchel Alto,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=35,0178BC,FFFFFF
036,EMT,36,Atocha - Campamento,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=36,0178BC,FFFFFF
037,EMT,37,Glorieta de Cuatro Caminos - Puente de Vallecas,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=37,0178BC,FFFFFF
038,EMT,38,Plaza de Manuel Becerra - las Rosas,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=38,0178BC,FFFFFF
039,EMT,39,Opera - Colonia San Ignacio de Loyola,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=39,0178BC,FFFFFF
040,EMT,40,Tribunal - Alfonso XIII,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=40,0178BC,FFFFFF
041,EMT,41,Atocha - Colonia Manzanares,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=41,0178BC,FFFFFF
042,EMT,42,Plaza de Castilla - Peña Grande,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=42,0178BC,FFFFFF
043,EMT,43,Avenida de Felipe II - Estrecho,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=43,0178BC,FFFFFF
044,EMT,44,Plaza del Callao - Marques de Viana,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=44,0178BC,FFFFFF
045,EMT,45,Plaza de Legazpi - Glorieta Presidente Garcia Moreno,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=45,0178BC,FFFFFF
046,EMT,46,Sevilla - Moncloa,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=46,0178BC,FFFFFF
047,EMT,47,Atocha - Carabanchel Alto,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=47,0178BC,FFFFFF
048,EMT,48,Plaza de Manuel Becerra - Barrio de Canillejas,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=48,0178BC,FFFFFF
049,EMT,49,Plaza de Castilla - Arroyo del Fresno,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=49,0178BC,FFFFFF
050,EMT,50,Puerta del Sol - Avenida del Manzanares,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=50,0178BC,FFFFFF
051,EMT,51,Puerta del Sol - Plaza del Peru,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=51,0178BC,FFFFFF
052,EMT,52,Puerta del Sol - Santamarca,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=52,0178BC,FFFFFF
053,EMT,53,Puerta del Sol - Arturo Soria,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=53,0178BC,FFFFFF
054,EMT,54,Atocha - Barrio Vilano,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=54,0178BC,FFFFFF
055,EMT,55,Atocha - Batan,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=55,0178BC,FFFFFF
056,EMT,56,Diego de Leon - Puente de Vallecas,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=56,0178BC,FFFFFF
057,EMT,57,Atocha - Alto del Arenal,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=57,0178BC,FFFFFF
058,EMT,58,Puente Vallecas - Barrio de Santa Eugenia,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=58,0178BC,FFFFFF
059,EMT,59,Atocha - Colonia San Cristobal de los Angeles,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=59,0178BC,FFFFFF
060,EMT,60,Plaza de la Cebada - Orcasitas,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=60,0178BC,FFFFFF
061,EMT,61,Moncloa - Narvaez,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=61,0178BC,FFFFFF
062,EMT,62,Principe Pio - Puerto Serrano,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=62,0178BC,FFFFFF
063,EMT,63,Avenida de Felipe II - Barrio de Santa Eugenia,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=63,0178BC,FFFFFF
064,EMT,64,Glorieta de Cuatro Caminos - Arroyo del Fresno,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=64,0178BC,FFFFFF
065,EMT,65,Plaza de Benavente - Colonia Gran Capitan,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=65,0178BC,FFFFFF
066,EMT,66,Glorieta de Cuatro Caminos - Fuencarral,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=66,0178BC,FFFFFF
067,EMT,67,Plaza de Castilla - Barrio de Peñagrande,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=67,0178BC,FFFFFF
068,EMT,C1,Circular 1 - ,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=C1,0178BC,FFFFFF
069,EMT,C2,Circular 2 - ,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=C2,0178BC,FFFFFF
070,EMT,70,Plaza de Castilla - Alsacia,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=70,0178BC,FFFFFF
071,EMT,71,Plaza de Manuel Becerra - Puerta de Arganda,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=71,0178BC,FFFFFF
072,EMT,72,Diego de Leon - Hortaleza,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=72,0178BC,FFFFFF
073,EMT,73,Diego de Leon - Canillas,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=73,0178BC,FFFFFF
074,EMT,74,Paseo del Pintor Rosales - Parque de las Avenidas,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=74,0178BC,FFFFFF
075,EMT,75,Plaza del Callao - Colonia Manzanares,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=75,0178BC,FFFFFF
076,EMT,76,Plaza Beata Maria Ana de Jesus - Villaverde Alto,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=76,0178BC,FFFFFF
077,EMT,77,Plaza de Ciudad Lineal - Colonia Fin de Semana,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=77,0178BC,FFFFFF
078,EMT,78,Glorieta de Embajadores - Barrio de San Fermin,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=78,0178BC,FFFFFF
079,EMT,79,Plaza de Legazpi - Villaverde Alto,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=79,0178BC,FFFFFF
081,EMT,81,Oporto - Hospital 12 de Octubre,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=81,0178BC,FFFFFF
082,EMT,82,Moncloa - Barrio de Peñagrande,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=82,0178BC,FFFFFF
083,EMT,83,Moncloa - Barrio del Pilar,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=83,0178BC,FFFFFF
085,EMT,85,Atocha - Barrio de los Rosales,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=85,0178BC,FFFFFF
086,EMT,86,Atocha - Villaverde Alto,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=86,0178BC,FFFFFF
