service_id,date,exception_type
66,20160408,2
66,20160409,2
66,20160410,2
66,20160411,1
66,20160412,1
66,20160413,1
66,20160414,2
66,20160415,2
66,20160416,2
66,20160417,2
66,20160418,1
66,20160419,1
66,20160420,1
66,20160421,2
66,20160422,2
66,20160423,2
66,20160424,2
66,20160425,1
66,20160426,1
66,20160427,1
66,20160428,2
66,20160429,2
66,20160430,2
66,20160501,2
66,20160502,1
66,20160503,1
66,20160504,1
66,20160505,2
66,20160506,2
66,20160507,2
66,20160508,2
66,20160509,1
66,20160510,1
66,20160511,1
66,20160512,2
66,20160513,2
66,20160514,2
66,20160515,2
66,20160516,2
66,20160517,2
66,20160518,1
66,20160519,2
66,20160520,2
66,20160521,2
66,20160522,2
66,20160523,1
66,20160524,1
66,20160525,1
66,20160526,2
66,20160527,2
66,20160528,2
66,20160529,2
66,20160530,1
66,20160531,1
66,20160601,1
66,20160602,2
66,20160603,2
66,20160604,2
66,20160605,2
66,20160606,1
66,20160607,1
66,20160608,1
66,20160609,2
66,20160610,2
66,20160611,2
66,20160612,2
66,20160613,1
66,20160614,1
66,20160615,1
66,20160616,2
66,20160617,2
66,20160618,2
66,20160619,2
66,20160620,1
66,20160621,1
66,20160622,1
66,20160623,2
66,20160624,2
67,20160329,1
67,20160330,1
67,20160331,1
67,20160401,1
67,20160402,2
67,20160403,2
67,20160404,1
67,20160405,1
67,20160406,1
67,20160407,1
67,20160408,1
67,20160409,2
67,20160410,2
67,20160411,1
67,20160412,1
67,20160413,1
67,20160414,1
67,20160415,1
67,20160416,2
67,20160417,2
67,20160418,1
67,20160419,1
67,20160420,1
67,20160421,1
67,20160422,1
67,20160423,2
67,20160424,2
67,20160425,1
67,20160426,1
67,20160427,1
67,20160428,1
67,20160429,1
67,20160430,2
67,20160501,2
67,20160502,1
67,20160503,1
67,20160504,1
67,20160505,2
67,20160506,1
67,20160507,2
67,20160508,2
67,20160509,1
67,20160510,1
67,20160511,1
67,20160512,1
67,20160513,1
67,20160514,2
67,20160515,2
67,20160516,2
67,20160517,2
67,20160518,1
67,20160519,1
67,20160520,1
67,20160521,2
67,20160522,2
67,20160523,1
67,20160524,1
67,20160525,1
67,20160526,1
67,20160527,1
67,20160528,2
67,20160529,2
67,20160530,1
67,20160531,1
67,20160601,1
67,20160602,1
67,20160603,1
67,20160604,2
67,20160605,2
67,20160606,1
67,20160607,1
67,20160608,1
67,20160609,1
67,20160610,1
67,20160611,2
67,20160612,2
67,20160613,1
67,20160614,1
67,20160615,1
67,20160616,1
67,20160617,1
67,20160618,2
67,20160619,2
67,20160620,1
67,20160621,1
67,20160622,1
67,20160623,1
67,20160624,1
68,20160329,1
68,20160330,2
68,20160331,1
68,20160401,2
68,20160402,2
68,20160403,2
68,20160404,2
68,20160405,1
68,20160406,2
68,20160407,1
68,20160408,2
68,20160409,2
68,20160410,2
68,20160411,2
