route_id,service_id,trip_id,trip_headsign,shape_id
1033,38,10331031,SUS - Stavanger,193227
1033,70,10331032,SUS - Stavanger - Hundvåg,193226
1033,38,10331033,SUS - Stavanger,193227
1033,70,10331034,SUS - Stavanger - Hundvåg,193226
1033,38,10331035,SUS - Stavanger,193227
1033,70,10331036,SUS - Stavanger,193227
1033,38,10331037,SUS - Stavanger,193227
1033,70,10331038,SUS - Stavanger,193227
1033,38,10331039,SUS - Stavanger,193227
1033,70,10331040,SUS - Stavanger,193227
1033,38,10331041,SUS - Stavanger,193227
1033,70,10331042,SUS - Stavanger,193227
1033,70,10331044,SUS - Stavanger,193227
1033,70,10331046,SUS - Stavanger,193227
1033,70,10331048,SUS - Stavanger,193227
1033,70,10331049,SUS - Stavanger,193227
1033,70,10331054,SUS - Stavanger,193227
1033,70,10331058,SUS - Stavanger,193227
1033,70,10331062,SUS - Stavanger,193227
1033,70,10332000,UiS - Forus - Sandnes,193228
1033,38,10332001,UiS - Forus - Sandnes,193229
1033,70,10332004,UiS - Forus - Sandnes,193228
1033,70,10332002,UiS - Forus - Sandnes,193229
1033,38,10332003,UiS - Forus - Sandnes,193229
1033,38,10332005,UiS - Forus - Sandnes,193229
1033,70,10332008,UiS - Forus - Sandnes,193228
1033,70,10332006,UiS - Forus - Sandnes,193229
1033,38,10332007,UiS - Forus - Sandnes,193229
1033,38,10332013,UiS - Forus - Sandnes,193229
1033,70,10332010,UiS - Forus - Sandnes,193229
1033,38,10332011,UiS - Forus - Sandnes,193229
1033,70,10332012,UiS - Forus - Sandnes,193229
1033,38,10332019,UiS - Forus - Sandnes,193229
1033,70,10332020,UiS - Forus - Sandnes,193229
1033,38,10332015,UiS - Forus - Sandnes,193229
1033,70,10332016,UiS - Forus - Sandnes,193229
1033,38,10332017,UiS - Forus - Sandnes,193229
1033,70,10332018,UiS - Forus - Sandnes,193229
1033,38,10332009,UiS - Forus - Sandnes,193229
1033,70,10332014,UiS - Forus - Sandnes,193229
1033,38,10332021,UiS - Forus - Sandnes,193229
1033,70,10332022,UiS - Forus - Sandnes,193229
1033,38,10332023,UiS - Forus - Sandnes,193229
1033,70,10332024,UiS - Forus - Sandnes,193229
1033,38,10332025,UiS - Forus - Sandnes,193229
1033,70,10332030,UiS - Forus - Sandnes,193229
