service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
Serv000001,1,1,1,1,1,0,0,20100927,20110507
Serv000002,0,0,0,0,1,0,0,20100927,20110507
Serv000003,0,0,0,0,0,1,0,20110108,20110507
Serv000004,0,0,0,0,0,0,1,20110126,20110507
Serv000005,1,1,1,1,1,0,0,20100927,20110507
Serv000006,0,0,0,0,1,0,0,20100927,20110507
Serv000007,0,0,0,0,0,1,0,20110108,20110507
Serv000008,0,0,0,0,0,0,1,20110126,20110507
Serv000009,0,0,0,0,0,1,1,20110108,20110507
Serv000010,0,0,0,0,0,1,1,20110108,20110507
Serv000011,0,0,0,0,0,1,1,20110108,20110507
Serv000012,0,0,0,0,0,1,1,20110108,20110507
Serv000013,0,0,0,0,0,1,1,20110108,20110507
Serv000014,0,0,0,0,0,1,1,20110108,20110507
Serv000015,0,0,0,0,0,1,1,20110108,20110507
Serv000016,0,0,0,0,0,1,1,20110108,20110507
Serv000017,0,0,0,0,0,1,1,20110108,20110507
Serv000018,0,0,0,0,0,1,1,20110108,20110507
Serv000019,1,1,1,1,1,1,1,20080212,20110507
Serv000020,1,1,1,1,1,1,1,20080212,20110507
Serv000021,0,0,0,0,0,0,1,20101128,20110507
Serv000022,1,1,1,1,1,0,0,20110101,20110507
Serv000023,1,1,1,1,1,0,0,20110101,20110507
Serv000024,1,1,1,1,1,0,0,20110101,20110507
Serv000025,0,0,0,0,0,1,0,20110108,20110507
Serv000026,0,0,0,0,0,0,1,20101128,20110507
Serv000027,1,1,1,1,1,0,0,20110101,20110507
Serv000028,0,0,0,0,1,0,0,20110101,20110507
Serv000029,1,1,1,1,1,0,0,20110101,20110507
Serv000030,0,0,0,0,1,0,0,20110101,20110507
Serv000031,1,1,1,1,1,0,0,20110101,20110507
Serv000032,0,0,0,0,1,0,0,20110101,20110507
Serv000033,0,0,0,0,0,1,0,20110108,20110507
Serv000034,0,0,0,0,0,0,1,20101128,20110507
Serv000035,1,1,1,1,1,0,0,20110101,20110507
Serv000036,0,0,0,0,0,1,0,20110108,20110507
Serv000037,0,0,0,0,0,0,1,20101128,20110507
Serv000038,1,1,1,1,1,0,0,20110101,20110507
Serv000039,0,0,0,0,0,1,0,20110108,20110507
Serv000040,0,0,0,0,0,0,1,20101128,20110507
Serv000041,1,1,1,1,1,0,0,20110101,20110507
Serv000042,0,0,0,0,1,0,0,20110101,20110507
Serv000043,1,1,1,1,1,0,0,20110101,20110507
Serv000044,0,0,0,0,1,0,0,20110101,20110507
Serv000045,0,0,0,0,0,1,0,20110108,20110507
Serv000046,0,0,0,0,0,0,1,20101128,20110507
Serv000047,1,1,1,1,1,0,0,20110101,20110507
Serv000048,0,0,0,0,1,0,0,20110101,20110507
Serv000049,1,1,1,1,1,0,0,20110101,20110507
Serv000050,0,0,0,0,1,0,0,20110101,20110507
Serv000051,0,0,0,0,0,1,0,20110108,20110507
Serv000052,1,1,1,1,1,0,0,20110101,20110507
Serv000053,1,1,1,1,1,0,0,20110101,20110507
Serv000054,1,1,1,1,1,0,0,20110101,20110507
Serv000055,1,1,1,1,1,0,0,20110101,20110507
Serv000056,1,1,1,1,1,0,0,20110101,20110507
Serv000057,1,1,1,1,1,0,0,20110101,20110507
Serv000058,1,1,1,1,1,0,0,20110101,20110507
Serv000059,1,1,1,1,1,0,0,20110101,20110507
Serv000060,1,1,1,1,1,0,0,20110101,20110507
Serv000061,1,1,1,1,1,0,0,20110101,20110507
Serv000062,0,0,0,0,0,0,1,20101128,20110507
Serv000063,1,1,1,1,1,0,0,20110101,20110507
Serv000064,0,0,0,0,0,1,0,20110108,20110507
Serv000065,0,0,0,0,0,0,1,20101128,20110507
Serv000066,1,1,1,1,1,0,0,20110101,20110507
Serv000067,0,0,0,0,0,1,0,20110108,20110507
Serv000068,1,1,1,1,1,0,0,20110101,20110507
Serv000069,1,1,1,1,1,0,0,20110101,20110507
Serv000070,1,1,1,1,1,0,0,20110101,20110507
Serv000071,1,1,1,1,1,0,0,20110101,20110507
Serv000072,1,1,1,1,1,0,0,20110101,20110507
Serv000073,1,1,1,1,1,0,0,20110101,20110507
Serv000074,0,0,0,0,0,0,1,20101128,20110507
Serv000075,1,1,1,1,1,0,0,20110101,20110507
Serv000076,0,0,0,0,0,1,0,20110108,20110507
Serv000077,0,0,0,0,0,0,1,20101128,20110507
Serv000078,1,1,1,1,1,0,0,20110101,20110507
Serv000079,1,1,1,1,1,0,0,20110101,20110507
Serv000080,1,1,1,1,1,0,0,20110101,20110507
Serv000081,0,0,0,0,0,1,0,20110108,20110507
Serv000082,1,1,1,1,1,0,0,20110101,20110507
Serv000083,1,1,1,1,1,0,0,20110101,20110507
Serv000084,0,0,0,0,0,0,1,20101128,20110507
Serv000085,1,1,1,1,1,0,0,20110101,20110507
Serv000086,1,1,1,1,1,0,0,20110101,20110507
Serv000087,1,1,1,1,1,0,0,20110101,20110507
Serv000088,1,1,1,1,1,0,0,20110101,20110507
Serv000089,0,0,0,0,0,1,0,20110108,20110507
Serv000090,0,0,0,0,0,0,1,20101128,20110507
Serv000091,1,1,1,1,1,0,0,20110101,20110507
Serv000092,1,1,1,1,1,0,0,20110101,20110507
Serv000093,1,1,1,1,1,0,0,20110101,20110507
Serv000094,1,1,1,1,1,0,0,20110101,20110507
Serv000095,0,0,0,0,0,1,0,20110108,20110507
Serv000096,1,1,1,1,1,0,0,20110101,20110507
Serv000097,1,1,1,1,1,0,0,20110101,20110507
Serv000098,1,1,1,1,1,0,0,20110101,20110507
Serv000099,1,1,1,1,1,0,0,20110101,20110507
