service_id,date,exception_type
Serv000001,20110422,2
Serv000001,20110425,2
Serv000002,20110422,2
Serv000002,20110425,2
Serv000005,20110422,2
Serv000005,20110425,2
Serv000006,20110422,2
Serv000006,20110425,2
Serv000021,20110422,1
Serv000021,20110425,1
Serv000022,20110422,2
Serv000022,20110425,2
Serv000023,20110422,2
Serv000023,20110425,2
Serv000024,20110422,2
Serv000024,20110425,2
Serv000026,20110422,1
Serv000026,20110425,1
Serv000027,20110422,2
Serv000027,20110425,2
Serv000028,20110422,2
Serv000028,20110425,2
Serv000029,20110422,2
Serv000029,20110425,2
Serv000030,20110422,2
Serv000030,20110425,2
Serv000031,20110422,2
Serv000031,20110425,2
Serv000032,20110422,2
Serv000032,20110425,2
Serv000034,20110422,1
Serv000034,20110425,1
Serv000035,20110422,2
Serv000035,20110425,2
Serv000037,20110422,1
Serv000037,20110425,1
Serv000038,20110422,2
Serv000038,20110425,2
Serv000040,20110422,1
Serv000040,20110425,1
Serv000041,20110422,2
Serv000041,20110425,2
Serv000042,20110422,2
Serv000042,20110425,2
Serv000043,20110422,2
Serv000043,20110425,2
Serv000044,20110422,2
Serv000044,20110425,2
Serv000046,20110422,1
Serv000046,20110425,1
Serv000047,20110422,2
Serv000047,20110425,2
Serv000048,20110422,2
Serv000048,20110425,2
Serv000049,20110422,2
Serv000049,20110425,2
Serv000050,20110422,2
Serv000050,20110425,2
Serv000052,20110422,2
Serv000052,20110425,2
Serv000053,20110422,2
Serv000053,20110425,2
Serv000054,20110422,2
Serv000054,20110425,2
Serv000055,20110422,2
Serv000055,20110425,2
Serv000056,20110422,2
Serv000056,20110425,2
Serv000057,20110422,2
Serv000057,20110425,2
Serv000058,20110422,2
Serv000058,20110425,2
Serv000059,20110422,2
Serv000059,20110425,2
Serv000060,20110422,2
Serv000060,20110425,2
Serv000061,20110422,2
Serv000061,20110425,2
Serv000062,20110422,1
Serv000062,20110425,1
Serv000063,20110422,2
Serv000063,20110425,2
Serv000065,20110422,1
Serv000065,20110425,1
Serv000066,20110422,2
Serv000066,20110425,2
Serv000068,20110422,2
Serv000068,20110425,2
Serv000069,20110422,2
Serv000069,20110425,2
Serv000070,20110422,2
Serv000070,20110425,2
Serv000071,20110422,2
Serv000071,20110425,2
Serv000072,20110422,2
Serv000072,20110425,2
Serv000073,20110422,2
Serv000073,20110425,2
Serv000074,20110422,1
Serv000074,20110425,1
Serv000075,20110422,2
Serv000075,20110425,2
Serv000077,20110422,1
Serv000077,20110425,1
Serv000078,20110422,2
Serv000078,20110425,2
Serv000079,20110422,2
Serv000079,20110425,2
Serv000080,20110422,2
Serv000080,20110425,2
Serv000082,20110422,2
Serv000082,20110425,2
Serv000083,20110422,2
Serv000083,20110425,2
Serv000084,20110422,1
Serv000084,20110425,1
Serv000085,20110422,2
Serv000085,20110425,2
Serv000086,20110422,2
Serv000086,20110425,2
Serv000087,20110422,2
Serv000087,20110425,2
Serv000088,20110422,2
Serv000088,20110425,2
Serv000090,20110422,1
Serv000090,20110425,1
Serv000091,20110422,2
Serv000091,20110425,2
Serv000092,20110422,2
Serv000092,20110425,2
Serv000093,20110422,2
Serv000093,20110425,2
Serv000094,20110422,2
Serv000094,20110425,2
Serv000096,20110422,2
Serv000096,20110425,2
Serv000097,20110422,2
Serv000097,20110425,2
Serv000098,20110422,2
Serv000098,20110425,2
Serv000099,20110422,2
Serv000099,20110425,2
Serv000100,20110422,2
Serv000100,20110425,2
Serv000101,20110422,2
Serv000101,20110425,2
Serv000102,20110422,2
Serv000102,20110425,2
Serv000103,20110422,2
Serv000103,20110425,2
Serv000104,20110422,2
Serv000104,20110425,2
Serv000105,20110422,2
Serv000105,20110425,2
Serv000106,20110422,2
Serv000106,20110425,2
Serv000107,20110422,2
Serv000107,20110425,2
Serv000108,20110422,2
Serv000108,20110425,2
Serv000109,20110422,2
Serv000109,20110425,2
Serv000110,20110422,2
Serv000110,20110425,2
Serv000111,20110422,2
Serv000111,20110425,2
Serv000112,20110422,2
Serv000112,20110425,2
Serv000113,20110422,2
Serv000113,20110425,2
Serv000114,20110422,2
Serv000114,20110425,2
Serv000115,20110422,2
Serv000115,20110425,2
Serv000116,20110422,2
Serv000116,20110425,2
Serv000117,20110422,2
Serv000117,20110425,2
Serv000118,20110422,2
Serv000118,20110425,2
Serv000119,20110422,2
Serv000119,20110425,2
Serv000120,20110422,2
Serv000120,20110425,2
Serv000121,20110422,2
Serv000121,20110425,2
Serv000122,20110422,2
Serv000122,20110425,2
Serv000123,20110422,2
