route_id,agency_id,route_short_name,route_long_name,route_type
TZWA:MPN:I:,TZWA,MPN,Palmerston North - Masterton,3
TZWA:MPN:O:,TZWA,MPN,Masterton - Palmerston North,3
GOW:N1:O:,GOW,N1,After Midnight (Island Bay/Lyall Bay),3
GOW:N2:O:,GOW,N2,After Midnight (Hataitai/Miramar/Strathmore/Seatoun),3
GOW:N3:O:,GOW,N3,After Midnight (Karori/Northland),3
GOW:N4:O:,GOW,N4,After Midnight (Wadestown/Khandallah),3
NLDS:N5:O:,NLDS,N5,After Midnight (Newlands/Churton Park/Johnsonvillle),3
MANA:N6:O:,MANA,N6,After Midnight (Tawa/Porirua/Whitby),3
VLYF:N8:I:,VLYF,N8,After Midnight (Lower Hutt - Wellington),3
VLYF:N22:O:,VLYF,N22,After Midnight (Naenae/Stokes Valley/Upper Hutt),3
VLYF:N66:O:,VLYF,N66,After Midnight (Wainuiomata),3
VLYF:N88:O:,VLYF,N88,After Midnight (Eastbourne),3
NAK:NAK:I:,NAK,NAK,Nakedbus.com (Auckland - Wellington),3
NAK:NAK:O:,NAK,NAK,Nakedbus.com (Wellington - Auckland),3
GOW:1:I:,GOW,1,Island Bay - Wellington,3
GOW:1:O:,GOW,1,Wellington - Island Bay,3
GOW:2:I:,GOW,2,Miramar - Wellington,3
GOW:2:O:,GOW,2,Wellington - Miramar,3
GOW:3:I:,GOW,3,The Green Route (Karori - Wellington - Lyall Bay),3
GOW:3:O:,GOW,3,The Green Route (Lyall Bay - Wellington - Karori),3
GOW:4:I:,GOW,4,Happy Valley - Wellington,3
GOW:4:O:,GOW,4,Wellington - Happy Valley,3
GOW:5:I:,GOW,5,Hataitai - Wellington,3
GOW:5:O:,GOW,5,Wellington - Hataitai,3
GOW:6:I:,GOW,6,Lyall Bay - Wellington,3
GOW:6:O:,GOW,6,Wellington - Lyall Bay,3
GOW:7:I:,GOW,7,Kingston - Wellington,3
GOW:7:O:,GOW,7,Wellington - Kingston,3
GOW:8:I:,GOW,8,Kowhai Park - Wellington,3
GOW:8:O:,GOW,8,Wellington - Kowhai Park,3
GOW:9:I:,GOW,9,Aro Street - Wellington,3
GOW:9:O:,GOW,9,Wellington - Aro Street,3
GOW:10:I:,GOW,10,Newtown - Wellington,3
GOW:10:O:,GOW,10,Wellington - Newtown,3
GOW:11:I:,GOW,11,Seatoun - Wellington,3
GOW:11:O:,GOW,11,Wellington - Seatoun,3
GOW:13:I:,GOW,13,Wellington - Mairangi,3
GOW:13:O:,GOW,13,Mairangi - Wellington,3
GOW:14:I:,GOW,14,The Silver Route (Kilbirnie - Wilton),3
GOW:14:O:,GOW,14,The Silver Route (Wilton - Kilbirnie),3
GOW:17:I:,GOW,17,Karori - Wellington,3
GOW:17:O:,GOW,17,Wellington - Karori,3
GOW:18:I:,GOW,18,Campus Connection (Miramar - Karori),3
GOW:18:O:,GOW,18,Campus Connection (Karori - Miramar),3
GOW:20:I:,GOW,20,Highbury - Wellington - Mt Victoria,3
GOW:20:O:,GOW,20,Mt Victoria - Wellington - Highbury,3
GOW:21:I:,GOW,21,Vogeltown - Wellington - Karori,3
GOW:21:O:,GOW,21,Karori - Wellington - Vogeltown,3
GOW:22:I:,GOW,22,Houghton Bay - Wellington - Mairangi,3
GOW:22:O:,GOW,22,Mairangi - Wellington - Houghton Bay,3
GOW:23:I:,GOW,23,Southgate - Wellington - Mairangi,3
GOW:23:O:,GOW,23,Mairangi - Wellington - Houghton Bay/Southgate,3
GOW:24:I:,GOW,24,Miramar Heights - Wellington,3
GOW:24:O:,GOW,24,Wellington Miramar Heights,3
GOW:25:O:,GOW,25,Strathmore - Wellington,3
