stop_id,stop_name,stop_lat,stop_lon
22744,Palmerston North - Travel Centre,-40.357126,175.605817
22743,Ashhurst (pre booked passengers only),-40.291739,175.754805
22742,"Woodville - Coach Stop, Grey Street",-40.335455,175.864445
22741,"Pahiatua - United Travel, Main Street",-40.453452,175.840644
22740,"Eketahuna - Community Store, Main Street",-40.644521,175.703205
22739,National Willife Centre (booked passengers only),-40.722213,175.637541
22745,"Masterton - Tranzit, Queen Street (opposite)",-40.953509,175.656059
22651,"Masterton - Tranzit, Queen Street",-40.953307,175.655825
23336,Manners Street at Cuba Street (Burger King),-41.290930,174.776661
10304,Courtenay Place - Courtenay Central,-41.292933,174.779915
10309,Courtenay Place - Blair Street,-41.293764,174.782673
10268,Kent Terrace at Pirie Street (near 43),-41.296911,174.782495
10266,Kent Terrace at Basin Reserve,-41.298827,174.781436
10213,Basin Reserve - Adelaide Road,-41.301608,174.779803
10211,Adelaide Road at Broomhedge St (near 85),-41.304089,174.778963
10209,Adelaide Road at Hospital Road (near 171),-41.306496,174.778251
10158,Wellington Hospital,-41.308958,174.778604
10111,Newtown Shops - Riddiford St (Mr Bun),-41.312716,174.779626
11764,Riddiford Street (near 233),-41.315801,174.780497
11777,Rintoul Street (near 191),-41.319505,174.777969
11775,Berhampore Shops - Luxford St (near 46),-41.319919,174.775675
11769,Adelaide Road at Herald Street (near 493),-41.321211,174.775375
11767,Adelaide Road at Dawson Street (near 531),-41.323093,174.775438
11765,Adelaide Road (near 559),-41.324638,174.775121
10043,Adelaide Road at Berhampore Golf Course,-41.327601,174.774532
10042,The Parade at Dee Street (near 17),-41.329373,174.774054
10022,The Parade at Tamar Street (near 69),-41.331611,174.773803
10021,The Parade at Avon Street (near 109),-41.333163,174.773618
10020,Island Bay Shops - The Parade (near 145),-41.334642,174.773479
10002,The Parade at Mersey Street (near 217),-41.337556,174.772577
11749,The Parade at Humber Street (near 311),-41.340837,174.771220
11745,Island Bay - The Parade,-41.342660,174.770349
11748,The Parade at Humber Street (Amba Dairy),-41.340757,174.771122
10003,Mersey Street at Clyde Street (near 30),-41.337450,174.773626
10004,Melrose Road at Melbourne Road (near 1),-41.338084,174.776344
10005,Melrose Road (near 41),-41.336616,174.779232
10009,Melrose Road at Southgate Road,-41.337780,174.780853
10006,Buckley Road at Bann Street (near 207),-41.342014,174.780238
10001,Orchy Crescent at Buckley Road,-41.342930,174.779223
10007,Buckley Road at Bann Street (near 178),-41.341807,174.780221
10008,Buckley Road at Melrose Road (near 160),-41.340332,174.780635
