route_id,service_id,trip_id
TZWA:MPN:I:,Serv000001,Trip000001
TZWA:MPN:I:,Serv000002,Trip000002
TZWA:MPN:I:,Serv000003,Trip000003
TZWA:MPN:I:,Serv000004,Trip000004
TZWA:MPN:O:,Serv000005,Trip000005
TZWA:MPN:O:,Serv000006,Trip000006
TZWA:MPN:O:,Serv000007,Trip000007
TZWA:MPN:O:,Serv000008,Trip000008
GOW:N1:O:,Serv000009,Trip000009
GOW:N1:O:,Serv000009,Trip000010
GOW:N1:O:,Serv000009,Trip000011
GOW:N2:O:,Serv000010,Trip000012
GOW:N2:O:,Serv000010,Trip000013
GOW:N2:O:,Serv000010,Trip000014
GOW:N3:O:,Serv000011,Trip000015
GOW:N3:O:,Serv000011,Trip000016
GOW:N3:O:,Serv000011,Trip000017
GOW:N4:O:,Serv000012,Trip000018
GOW:N4:O:,Serv000012,Trip000019
GOW:N4:O:,Serv000012,Trip000020
NLDS:N5:O:,Serv000013,Trip000021
NLDS:N5:O:,Serv000013,Trip000022
NLDS:N5:O:,Serv000013,Trip000023
MANA:N6:O:,Serv000014,Trip000024
MANA:N6:O:,Serv000014,Trip000025
MANA:N6:O:,Serv000014,Trip000026
MANA:N6:O:,Serv000014,Trip000027
VLYF:N8:I:,Serv000015,Trip000028
VLYF:N8:I:,Serv000015,Trip000029
VLYF:N22:O:,Serv000016,Trip000030
VLYF:N22:O:,Serv000016,Trip000031
VLYF:N22:O:,Serv000016,Trip000032
VLYF:N66:O:,Serv000017,Trip000033
VLYF:N66:O:,Serv000017,Trip000034
VLYF:N66:O:,Serv000017,Trip000035
VLYF:N88:O:,Serv000018,Trip000036
VLYF:N88:O:,Serv000018,Trip000037
VLYF:N88:O:,Serv000018,Trip000038
NAK:NAK:I:,Serv000019,Trip000039
NAK:NAK:O:,Serv000020,Trip000040
GOW:1:I:,Serv000021,Trip000041
GOW:1:I:,Serv000021,Trip000042
GOW:1:I:,Serv000021,Trip000043
GOW:1:I:,Serv000021,Trip000044
GOW:1:I:,Serv000021,Trip000045
GOW:1:I:,Serv000021,Trip000046
GOW:1:I:,Serv000021,Trip000047
GOW:1:I:,Serv000021,Trip000048
GOW:1:I:,Serv000021,Trip000049
GOW:1:I:,Serv000021,Trip000050
GOW:1:I:,Serv000021,Trip000051
GOW:1:I:,Serv000021,Trip000052
GOW:1:I:,Serv000021,Trip000053
GOW:1:I:,Serv000021,Trip000054
GOW:1:I:,Serv000021,Trip000055
GOW:1:I:,Serv000021,Trip000056
GOW:1:I:,Serv000021,Trip000057
GOW:1:I:,Serv000021,Trip000058
GOW:1:I:,Serv000021,Trip000059
GOW:1:I:,Serv000021,Trip000060
GOW:1:I:,Serv000021,Trip000061
GOW:1:I:,Serv000021,Trip000062
GOW:1:I:,Serv000021,Trip000063
GOW:1:I:,Serv000021,Trip000064
GOW:1:I:,Serv000021,Trip000065
GOW:1:I:,Serv000021,Trip000066
GOW:1:I:,Serv000021,Trip000067
GOW:1:I:,Serv000021,Trip000068
GOW:1:I:,Serv000021,Trip000069
GOW:1:I:,Serv000021,Trip000070
GOW:1:I:,Serv000021,Trip000071
GOW:1:I:,Serv000021,Trip000072
GOW:1:I:,Serv000021,Trip000073
GOW:1:I:,Serv000021,Trip000074
GOW:1:I:,Serv000021,Trip000075
GOW:1:I:,Serv000021,Trip000076
GOW:1:I:,Serv000021,Trip000077
GOW:1:I:,Serv000021,Trip000078
GOW:1:I:,Serv000021,Trip000079
GOW:1:I:,Serv000021,Trip000080
GOW:1:I:,Serv000021,Trip000081
GOW:1:I:,Serv000021,Trip000082
GOW:1:I:,Serv000021,Trip000083
GOW:1:I:,Serv000021,Trip000084
GOW:1:I:,Serv000021,Trip000085
GOW:1:I:,Serv000021,Trip000086
GOW:1:I:,Serv000021,Trip000087
GOW:1:I:,Serv000022,Trip000088
GOW:1:I:,Serv000022,Trip000089
GOW:1:I:,Serv000022,Trip000090
GOW:1:I:,Serv000022,Trip000091
